"","tournamentNumber","tourCode","seasonYear","eventId","roundNumber","courseNumber","holeNumber","live","teeTime","startingHole","focusPlayerId","playerId","lastName","firstName","shortName","countryCode","leaderFlag","strokesBehind","textScore","roundScore","totalScore","position","thru","completedRoundScore","completedTotalScore","completedPosition","completedThru","time","type","shotNumber","distance","left","from_x","from_y","from_z","provisional","lie","strokesAssessed","groupId","x","y","z","videoID","putt","from","to","cup","radarData.strokeId","radarData.clientNumber","radarData.apexRange","radarData.apexSide","radarData.apexHeight","radarData.clubSpeed","radarData.ballSpeed","radarData.smashFactor","radarData.launchSpin","radarData.verticalLaunchAngle","radarData.horizontalLaunchAngle","radarData.actualFlightTime"
"1","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","29420","Horschel","Billy","B","USA",FALSE,10,"Par","E","E","T27","--","E","E","T26","1",42365,"SST",1,"306 yds","163 yds",10257.8,10040.21,973.112,FALSE,NA,1,1,11174.9,10007.33,992.802,"6187848827001",FALSE,"OTB","ELF",FALSE,42365,32,530.33,-1.39,92,113,169,1.5,1979,12.635,2.156,5934.94
"2","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","29420","Horschel","Billy","B","USA",FALSE,10,"Par","E","E","T27","--","E","E","T26","1",42521,"SST",2,"167 yds","19 ft 10 in.",11174.9,10007.33,992.802,FALSE,NA,1,1,11648.9,9844.98,1014.972,"6187852323001",FALSE,"OFW","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","29420","Horschel","Billy","B","USA",FALSE,10,"Par","E","E","T27","--","E","E","T26","1",42628,"SST",3,"20 ft 3 in.","11 in.",11648.9,9844.98,1014.972,FALSE,NA,1,1,11630.8,9836.04,1014.741,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","29420","Horschel","Billy","B","USA",FALSE,10,"Par","E","E","T27","--","E","E","T26","1",42649,"SST",4,"11 in.","0 in.",11630.8,9836.04,1014.741,FALSE,NA,1,1,11631.5,9835.15,1014.677,"6187852147001",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","52372","Champ","Cameron","C","USA",FALSE,10,"Par","E","E","T26","--","E","E","T26","1",42327,"SST",1,"312 yds","152 yds",10257.8,10040.21,973.112,FALSE,NA,1,1,11189.9,9944.9,995.21,"6187846690001",FALSE,"OTB","ERI",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","52372","Champ","Cameron","C","USA",FALSE,10,"Par","E","E","T26","--","E","E","T26","1",42550,"SST",2,"145 yds","30 ft 2 in.",11189.9,9944.9,995.21,FALSE,NA,1,1,11617.3,9861.98,1013.345,"6187851793001",FALSE,"OIR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","52372","Champ","Cameron","C","USA",FALSE,10,"Par","E","E","T26","--","E","E","T26","1",42603,"SST",3,"32 ft 3 in.","20 in.",11617.3,9861.98,1013.345,FALSE,NA,1,1,11632.4,9833.58,1014.819,"6187857226001",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","060","R","2020",1,1,"688",1,FALSE,"12:00PM",1,"29420","52372","Champ","Cameron","C","USA",FALSE,10,"Par","E","E","T26","--","E","E","T26","1",42613,"SST",4,"20 in.","0 in.",11632.4,9833.58,1014.819,FALSE,NA,1,1,11631.5,9835.15,1014.677,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","060","R","2020",1,1,"688",2,FALSE,"12:00PM",1,"29420","29420","Horschel","Billy","B","USA",FALSE,10,"Par","E","E","T26","1","E","E","T28","2",42846,"SST",1,"195 yds","32 ft 0 in.",11634.7,10024.31,1007.684,FALSE,NA,1,1,12193.1,9850.33,1029.665,"",FALSE,"OTB","EUK",FALSE,42846,32,377.48,19.78,103,0,133,0,6437,13.76,4.92,6045.64
"10","060","R","2020",1,1,"688",2,FALSE,"12:00PM",1,"29420","29420","Horschel","Billy","B","USA",FALSE,10,"Par","E","E","T26","1","E","E","T28","2",42935,"SST",2,"33 ft 2 in.","9 in.",12193.1,9850.33,1029.665,FALSE,NA,1,1,12224.9,9859.45,1030.446,"",TRUE,"OGR","EUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
