"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"527","R","2023",1,"875",1,1,4,405,7,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",1,2,4,405,7,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",1,3,4,405,6,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",1,4,4,405,11,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",2,1,4,363,15,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",2,2,4,363,12,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",2,3,4,363,16,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",2,4,4,363,10,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",3,1,3,180,9,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",3,2,3,180,13,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",3,3,3,180,13,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",3,4,3,180,1,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",4,1,4,505,1,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",4,2,4,505,1,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",4,3,4,505,2,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",4,4,4,505,4,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",5,1,3,205,5,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",5,2,3,205,9,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",5,3,3,205,8,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",5,4,3,205,14,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",6,1,5,587,17,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",6,2,5,587,17,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",6,3,5,587,17,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",6,4,5,587,17,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",7,1,3,167,11,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",7,2,3,167,16,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",7,3,3,167,12,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",7,4,3,167,15,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",8,1,4,395,13,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",8,2,4,395,15,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",8,3,4,395,13,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",8,4,4,395,13,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",9,1,4,486,2,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",9,2,4,486,6,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",9,3,4,486,1,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",9,4,4,486,3,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",10,1,4,400,8,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",10,2,4,400,7,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",10,3,4,400,7,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",10,4,4,400,12,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",11,1,4,486,3,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",11,2,4,486,2,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",11,3,4,486,4,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",11,4,4,486,2,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",12,1,4,490,4,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",12,2,4,490,3,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",12,3,4,490,3,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",12,4,4,490,5,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",13,1,3,141,14,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",13,2,3,141,10,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",13,3,3,141,15,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",13,4,3,141,9,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",14,1,5,608,12,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",14,2,5,608,3,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",14,3,5,608,10,0,0,0,0,0,0,0,0,0
"527","R","2023",1,"875",14,4,5,608,15,0,0,0,0,0,0,0,0,0
