"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","x","y","z","name"
"464","R","2022",1,"552",1,1,4,436,14,10416.5,8736.16,85.63,"tee"
"464","R","2022",1,"552",1,2,4,436,10,10415.18,8727.14,85.69,"tee"
"464","R","2022",1,"552",1,3,4,436,9,10415.99,8739.34,85.7,"tee"
"464","R","2022",1,"552",1,4,4,436,14,10416.12,8734.65,85.6,"tee"
"464","R","2022",1,"552",2,1,3,197,3,10639.83,10095.82,88.25,"tee"
"464","R","2022",1,"552",2,2,3,197,3,10647.04,10090.13,88.31,"tee"
"464","R","2022",1,"552",2,3,3,197,3,10644.08,10094.17,88.3,"tee"
"464","R","2022",1,"552",2,4,3,197,2,10637.51,10100.5,88.25,"tee"
"464","R","2022",1,"552",3,1,4,424,13,9956.03,10208.37,93.52,"tee"
"464","R","2022",1,"552",3,2,4,424,9,9955.95,10205.95,93.47,"tee"
"464","R","2022",1,"552",3,3,4,424,7,9956.27,10210.81,93.55,"tee"
"464","R","2022",1,"552",3,4,4,424,1,9956.01,10208.25,93.52,"tee"
"464","R","2022",1,"552",4,1,4,407,7,9972.8,11593.55,130.99,"tee"
"464","R","2022",1,"552",4,2,4,407,2,9975.04,11595.91,131.01,"tee"
"464","R","2022",1,"552",4,3,4,407,1,9973.67,11592.39,130.98,"tee"
"464","R","2022",1,"552",4,4,4,407,5,9975.51,11598.56,131.04,"tee"
"464","R","2022",1,"552",5,1,5,538,17,9974.7,12988.41,136.61,"tee"
"464","R","2022",1,"552",5,2,5,538,18,9983.56,12953.54,135.95,"tee"
"464","R","2022",1,"552",5,3,5,538,18,9971.68,12988.63,136.63,"tee"
"464","R","2022",1,"552",5,4,5,538,18,9978.69,12986.13,136.68,"tee"
"464","R","2022",1,"552",6,1,4,417,5,11484.24,12111.05,119.37,"tee"
"464","R","2022",1,"552",6,2,4,417,12,11479.98,12102.47,119.34,"tee"
"464","R","2022",1,"552",6,3,4,417,13,11482.95,12109.11,119.36,"tee"
"464","R","2022",1,"552",6,4,4,417,11,11481.44,12104.85,119.35,"tee"
"464","R","2022",1,"552",7,1,3,212,6,10673.05,10721.01,95.8,"tee"
"464","R","2022",1,"552",7,2,3,212,6,10746.99,10713.7,94.69,"tee"
"464","R","2022",1,"552",7,3,3,212,4,10678.51,10718.56,95.74,"tee"
"464","R","2022",1,"552",7,4,3,212,8,10684.08,10717.68,95.69,"tee"
"464","R","2022",1,"552",8,1,4,360,7,11500.78,10455.89,93.2,"tee"
"464","R","2022",1,"552",8,2,4,360,4,11463.95,10486.01,97.32,"tee"
"464","R","2022",1,"552",8,3,4,360,15,11504.82,10451.06,93.5,"tee"
"464","R","2022",1,"552",8,4,4,360,12,11466.32,10483.43,97.32,"tee"
"464","R","2022",1,"552",9,1,5,557,15,12365.03,9714.66,120.49,"tee"
"464","R","2022",1,"552",9,2,5,557,16,12367.2,9714.89,120.52,"tee"
"464","R","2022",1,"552",9,3,5,557,14,12362.69,9711.91,120.41,"tee"
"464","R","2022",1,"552",9,4,5,557,14,12367.22,9713.7,120.52,"tee"
"464","R","2022",1,"552",10,1,4,422,12,10796.15,8645.82,78.06,"tee"
