"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"054","R","2023",1,"746",1,1,4,407,10,1,"TREE",11502,10049,278,10733.28,10311.71,300.25,11881.94,9921.83,282.27,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,1,4,407,10,2,"FRONT OF BUNKER",11763,9916,276,10733.28,10311.71,300.25,11881.94,9921.83,282.27,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,1,4,407,10,3,"FRONT OF BUNKER",11794,9987,277,10733.28,10311.71,300.25,11881.94,9921.83,282.27,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,1,4,407,10,4,"FRONT OF GREEN",11820,9932,281,10733.28,10311.71,300.25,11881.94,9921.83,282.27,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,2,4,397,11,1,"TREE",11502,10049,278,10734.9,10310.79,300.22,11855.19,9944.85,282.31,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,2,4,397,11,2,"FRONT OF BUNKER",11763,9916,276,10734.9,10310.79,300.22,11855.19,9944.85,282.31,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,2,4,397,11,3,"FRONT OF BUNKER",11794,9987,277,10734.9,10310.79,300.22,11855.19,9944.85,282.31,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,2,4,397,11,4,"FRONT OF GREEN",11820,9932,281,10734.9,10310.79,300.22,11855.19,9944.85,282.31,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,3,4,411,11,1,"TREE",11502,10049,278,10732.05,10311.91,300.27,11895.53,9946.91,282.35,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,3,4,411,11,2,"FRONT OF BUNKER",11763,9916,276,10732.05,10311.91,300.27,11895.53,9946.91,282.35,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,3,4,411,11,3,"FRONT OF BUNKER",11794,9987,277,10732.05,10311.91,300.27,11895.53,9946.91,282.35,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,3,4,411,11,4,"FRONT OF GREEN",11820,9932,281,10732.05,10311.91,300.27,11895.53,9946.91,282.35,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,4,4,394,11,1,"TREE",11502,10049,278,10737.04,10310.56,300.17,11845.82,9914.32,282.17,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,4,4,394,11,2,"FRONT OF BUNKER",11763,9916,276,10737.04,10310.56,300.17,11845.82,9914.32,282.17,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,4,4,394,11,3,"FRONT OF BUNKER",11794,9987,277,10737.04,10310.56,300.17,11845.82,9914.32,282.17,11539.92,9970.81,277.52
"054","R","2023",1,"746",1,4,4,394,11,4,"FRONT OF GREEN",11820,9932,281,10737.04,10310.56,300.17,11845.82,9914.32,282.17,11539.92,9970.81,277.52
"054","R","2023",1,"746",2,1,4,412,12,1,"FRONT OF BUNKER",12818,9566,276,12000.41,9797.77,278.74,13125,9289.61,275.43,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,1,4,412,12,2,"BACK OF BUNKER",12853,9532,276,12000.41,9797.77,278.74,13125,9289.61,275.43,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,1,4,412,12,3,"FRONT OF GREEN",13043,9298,274,12000.41,9797.77,278.74,13125,9289.61,275.43,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,2,4,414,10,1,"FRONT OF BUNKER",12818,9566,276,11994.34,9799.57,278.85,13102.55,9260.5,275.26,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,2,4,414,10,2,"BACK OF BUNKER",12853,9532,276,11994.34,9799.57,278.85,13102.55,9260.5,275.26,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,2,4,414,10,3,"FRONT OF GREEN",13043,9298,274,11994.34,9799.57,278.85,13102.55,9260.5,275.26,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,3,4,407,12,1,"FRONT OF BUNKER",12818,9566,276,11991.88,9800.43,278.87,13095.44,9291.55,274.83,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,3,4,407,12,2,"BACK OF BUNKER",12853,9532,276,11991.88,9800.43,278.87,13095.44,9291.55,274.83,12829.54,9467.8,276.25
"054","R","2023",1,"746",2,3,4,407,12,3,"FRONT OF GREEN",13043,9298,274,11991.88,9800.43,278.87,13095.44,9291.55,274.83,12829.54,9467.8,276.25
