"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","x","y","z","name"
"020","R","2022",1,"897",1,1,4,522,3,11160.41,10145.07,61.26,"tee"
"020","R","2022",1,"897",1,2,4,522,3,11163.85,10149.92,61.34,"tee"
"020","R","2022",1,"897",1,3,4,522,7,11157.47,10142.43,61.27,"tee"
"020","R","2022",1,"897",1,4,4,522,2,11113.25,10106.74,61.18,"tee"
"020","R","2022",1,"897",2,1,3,167,12,10317.05,8654.66,60.87,"tee"
"020","R","2022",1,"897",2,2,3,167,8,10291.33,8618.45,60.44,"tee"
"020","R","2022",1,"897",2,3,3,167,17,10313.23,8635.38,60.78,"tee"
"020","R","2022",1,"897",2,4,3,167,6,10317.44,8645.99,60.79,"tee"
"020","R","2022",1,"897",3,1,5,587,16,10260.08,8029.74,62.3,"tee"
"020","R","2022",1,"897",3,2,5,587,18,10262.61,8025.09,62.34,"tee"
"020","R","2022",1,"897",3,3,5,587,13,10249.56,8055.55,60.2,"tee"
"020","R","2022",1,"897",3,4,5,587,18,10263.76,8021.46,62.36,"tee"
"020","R","2022",1,"897",4,1,4,490,9,9402.7,9630.34,62.42,"tee"
"020","R","2022",1,"897",4,2,4,490,4,9402.12,9634.47,62.47,"tee"
"020","R","2022",1,"897",4,3,4,490,8,9401.94,9637.04,62.49,"tee"
"020","R","2022",1,"897",4,4,4,490,7,9402.03,9627.33,62.39,"tee"
"020","R","2022",1,"897",5,1,4,440,13,9674.46,8098.57,57.26,"tee"
"020","R","2022",1,"897",5,2,4,440,17,9683.66,8085.94,57.27,"tee"
"020","R","2022",1,"897",5,3,4,440,13,9682.56,8089.06,57.27,"tee"
"020","R","2022",1,"897",5,4,4,440,14,9680.52,8091.56,57.24,"tee"
"020","R","2022",1,"897",6,1,4,443,10,8517.85,8823.15,60.38,"tee"
"020","R","2022",1,"897",6,2,4,443,14,8508.32,8831.86,60.29,"tee"
"020","R","2022",1,"897",6,3,4,443,8,8509.25,8829.38,60.29,"tee"
"020","R","2022",1,"897",6,4,4,443,4,8513.25,8823.52,60.35,"tee"
"020","R","2022",1,"897",7,1,3,216,11,9572.75,7821.2,60.31,"tee"
"020","R","2022",1,"897",7,2,3,216,8,9538.48,7812.41,60.38,"tee"
"020","R","2022",1,"897",7,3,3,216,6,9572.75,7821.2,60.31,"tee"
"020","R","2022",1,"897",7,4,3,216,13,9640.29,7798.64,60.42,"tee"
"020","R","2022",1,"897",8,1,5,625,17,10493.04,7986.95,58.99,"tee"
"020","R","2022",1,"897",8,2,5,625,16,10481.05,7898.08,59.23,"tee"
"020","R","2022",1,"897",8,3,5,625,11,10483.91,7903.83,59.26,"tee"
"020","R","2022",1,"897",8,4,5,625,16,10477.65,7882.74,59.27,"tee"
"020","R","2022",1,"897",9,1,3,182,5,11252.78,9541.04,59.84,"tee"
"020","R","2022",1,"897",9,2,3,182,11,11255.62,9552.8,59.8,"tee"
"020","R","2022",1,"897",9,3,3,182,8,11262.68,9558.22,59.81,"tee"
"020","R","2022",1,"897",9,4,3,182,11,11252.03,9528.74,59.85,"tee"
"020","R","2022",1,"897",10,1,4,456,8,11017.94,10469.39,61.9,"tee"
"020","R","2022",1,"897",10,2,4,456,7,11026.83,10462.46,61.94,"tee"
