"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"1",1,7,"006","2021","006",1,1,1,"40006",1,"Flight",0,0,0,-1.54494,0,-0.880629,2176.4
"2",2,7,"006","2021","006",1,1,1,"40006",1,"Flight",1.60571428571429,2.03714285714286,1.71520857142857,77.7866,9.93898,1.19206,-145.08
"3",3,7,"006","2021","006",1,1,1,"40006",1,"Flight",2.40857142857143,3.05571428571429,2.57281285714286,-13.2306,1.00492,0.193597,19.5269
"4",4,7,"006","2021","006",1,1,1,"40006",1,"Flight",3.21142857142857,4.07428571428571,3.43041714285714,2.52755,-1.00147,-0.0686969,-1.67521
"5",5,7,"006","2021","006",1,1,1,"40006",1,"Flight",4.01428571428571,5.09285714285714,4.28802142857143,-0.358767,0.131374,0.00991786,0.0540892
"6",6,7,"006","2021","006",1,1,1,"40006",1,"Flight",4.81714285714286,6.11142857142857,5.14562571428571,0.0300547,-0.00848152,-0.000611031,NA
"7",7,7,"006","2021","006",1,1,1,"40006",1,"Flight",5.62,7.13,6.00323,-0.00105848,0.00021221,1.0413e-05,NA
"8",1,7,"006","2021","006",1,9,1,"23325",1,"Flight",0,0,0,-0.270381,-2.05423e-15,-0.40389,1983.94
"9",2,7,"006","2021","006",1,9,1,"23325",1,"Flight",1.64285714285714,2.07142857142857,1.70556857142857,70.8636,12.3673,2.38859,-126.465
"10",3,7,"006","2021","006",1,9,1,"23325",1,"Flight",2.46428571428571,3.10714285714286,2.55835285714286,-12.3059,-0.410485,-0.476168,19.0741
"11",4,7,"006","2021","006",1,9,1,"23325",1,"Flight",3.28571428571429,4.14285714285714,3.41113714285714,2.28002,-0.564193,0.0736219,-1.81429
"12",5,7,"006","2021","006",1,9,1,"23325",1,"Flight",4.10714285714286,5.17857142857143,4.26392142857143,-0.315372,0.0527745,-0.000187134,0.0653233
"13",6,7,"006","2021","006",1,9,1,"23325",1,"Flight",4.92857142857143,6.21428571428571,5.11670571428571,0.026286,-0.000634063,-0.000770764,NA
"14",7,7,"006","2021","006",1,9,1,"23325",1,"Flight",5.75,7.25,5.96949,-0.000925972,-0.000109978,4.52315e-05,NA
"15",1,7,"006","2021","006",1,9,1,"30110",1,"Flight",0,0,0,-0.250344,4.26896e-15,-0.0346532,4661.75
"16",2,7,"006","2021","006",1,9,1,"30110",1,"Flight",1.83714285714286,2.23142857142857,1.89544857142857,71.409,14.3651,3.09937,-301.78
"17",3,7,"006","2021","006",1,9,1,"30110",1,"Flight",2.75571428571429,3.34714285714286,2.84317285714286,-11.8505,-0.780656,-0.118737,44.0628
