"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"1",1,7,"016","2021","656",2,15,1,"29725",1,"Flight",0,0,0,-1.02699,0,-0.827486,-3.513
"2",2,7,"016","2021","656",2,15,1,"29725",1,"Flight",1.82571428571429,2.17714285714286,1.75832285714286,79.1766,12.4738,0.311121,27.2386
"3",3,7,"016","2021","656",2,15,1,"29725",1,"Flight",2.73857142857143,3.26571428571429,2.63748428571429,-13.9425,1.7096,1.30028,-24.8465
"4",4,7,"016","2021","656",2,15,1,"29725",1,"Flight",3.65142857142857,4.35428571428571,3.51664571428571,2.63863,-1.67692,-0.374646,6.52591
"5",5,7,"016","2021","656",2,15,1,"29725",1,"Flight",4.56428571428571,5.44285714285714,4.39580714285714,-0.3678,0.344622,0.066914,-0.472287
"6",6,7,"016","2021","656",2,15,1,"29725",1,"Flight",5.47714285714286,6.53142857142857,5.27496857142857,0.030875,-0.0363357,-0.00638142,NA
"7",7,7,"016","2021","656",2,15,1,"29725",1,"Flight",6.39,7.62,6.15413,-0.00110403,0.00147856,0.000242849,NA
"8",1,7,"016","2021","656",2,15,1,"48822",1,"Flight",0,0,0,-0.409622,0,0.444052,2657.72
"9",2,7,"016","2021","656",2,15,1,"48822",1,"Flight",1.78571428571429,2.19428571428571,1.40748285714286,77.6092,12.1923,4.9639,-184.057
"10",3,7,"016","2021","656",2,15,1,"48822",1,"Flight",2.67857142857143,3.29142857142857,2.11122428571429,-13.4182,0.720184,-1.60394,27.1918
"11",4,7,"016","2021","656",2,15,1,"48822",1,"Flight",3.57142857142857,4.38857142857143,2.81496571428571,2.50021,-0.943542,0.158152,-2.4776
"12",5,7,"016","2021","656",2,15,1,"48822",1,"Flight",4.46428571428571,5.48571428571429,3.51870714285714,-0.353595,0.123828,-0.00192571,0.086261
"13",6,7,"016","2021","656",2,15,1,"48822",1,"Flight",5.35714285714286,6.58285714285714,4.22244857142857,0.0300059,-0.00769848,-0.000919592,NA
"14",7,7,"016","2021","656",2,15,1,"48822",1,"Flight",6.25,7.68,4.92619,-0.00106829,0.000176805,5.47561e-05,NA
"15",1,7,"016","2021","656",3,3,1,"32839",1,"Flight",0,0,0,0.563405,5.42727e-15,-0.20147,-5.35079
"16",2,7,"016","2021","656",3,3,1,"32839",1,"Flight",2.01428571428571,2.33428571428571,1.9234,75.544,16.306,-3.91934,29.9983
"17",3,7,"016","2021","656",3,3,1,"32839",1,"Flight",3.02142857142857,3.50142857142857,2.8851,-13.2039,-0.633473,0.598452,-23.041
"18",4,7,"016","2021","656",3,3,1,"32839",1,"Flight",4.02857142857143,4.66857142857143,3.8468,2.33933,-0.540542,-0.100618,5.28844
"19",5,7,"016","2021","656",3,3,1,"32839",1,"Flight",5.03571428571429,5.83571428571429,4.8085,-0.308327,0.0835228,0.0127851,-0.344346
"20",6,7,"016","2021","656",3,3,1,"32839",1,"Flight",6.04285714285714,7.00285714285714,5.7702,0.0243497,-0.00777543,-0.000988313,NA
"21",7,7,"016","2021","656",3,3,1,"32839",1,"Flight",7.05,8.17,6.7319,-0.000807161,0.0002856,3.23652e-05,NA
"22",1,7,"016","2021","656",3,3,1,"35506",1,"Flight",0,0,0,0.286925,-7.4839e-17,-0.162073,-122.347
"23",2,7,"016","2021","656",3,3,1,"35506",1,"Flight",1.93428571428571,2.26,1.87962571428571,74.4244,17.1072,-4.50603,693.371
"24",3,7,"016","2021","656",3,3,1,"35506",1,"Flight",2.90142857142857,3.39,2.81943857142857,-13.5704,-1.85001,0.13754,-547.373
"25",4,7,"016","2021","656",3,3,1,"35506",1,"Flight",3.86857142857143,4.52,3.75925142857143,2.42721,0.335421,-0.0202031,129.304
"26",5,7,"016","2021","656",3,3,1,"35506",1,"Flight",4.83571428571429,5.65,4.69906428571429,-0.308328,-0.156307,0.0049837,-8.68099
"27",6,7,"016","2021","656",3,3,1,"35506",1,"Flight",5.80285714285714,6.78,5.63887714285714,0.0226423,0.0182855,-0.000391092,NA
"28",7,7,"016","2021","656",3,3,1,"35506",1,"Flight",6.77,7.91,6.57869,-0.000684062,-0.000692603,6.15038e-06,NA
"29",1,7,"016","2021","656",3,15,1,"32839",1,"Flight",0,0,0,-0.883698,0,-0.686624,-164.559
"30",2,7,"016","2021","656",3,15,1,"32839",1,"Flight",2.09714285714286,2.46571428571429,2.00567428571429,75.2534,16.3537,-1.55051,874.348
"31",3,7,"016","2021","656",3,15,1,"32839",1,"Flight",3.14571428571429,3.69857142857143,3.00851142857143,-12.3669,-0.600106,1.23926,-640.296
"32",4,7,"016","2021","656",3,15,1,"32839",1,"Flight",4.19428571428571,4.93142857142857,4.01134857142857,1.90571,-0.383201,-0.198992,139.666
"33",5,7,"016","2021","656",3,15,1,"32839",1,"Flight",5.24285714285714,6.16428571428571,5.01418571428571,-0.210631,0.0158015,0.0215791,-8.62871
"34",6,7,"016","2021","656",3,15,1,"32839",1,"Flight",6.29142857142857,7.39714285714286,6.01702285714286,0.0141736,0.001803,-0.00125776,NA
"35",7,7,"016","2021","656",3,15,1,"32839",1,"Flight",7.34,8.63,7.01986,-0.00040974,-0.000130464,2.66344e-05,NA
"36",1,7,"016","2021","656",3,15,1,"35506",1,"Flight",0,0,0,1.01137,0,-0.695976,-3.53346
"37",2,7,"016","2021","656",3,15,1,"35506",1,"Flight",1.93714285714286,2.24857142857143,1.83526857142857,74.455,18.756,2.23421,25.5808
"38",3,7,"016","2021","656",3,15,1,"35506",1,"Flight",2.90571428571429,3.37285714285714,2.75290285714286,-12.7096,-2.19223,-0.445406,-22.426
"39",4,7,"016","2021","656",3,15,1,"35506",1,"Flight",3.87428571428571,4.49714285714286,3.67053714285714,2.49305,-0.147593,0.0786617,5.68579
"40",5,7,"016","2021","656",3,15,1,"35506",1,"Flight",4.84285714285714,5.62142857142857,4.58817142857143,-0.380563,0.0444965,-0.0109393,-0.397682
"41",6,7,"016","2021","656",3,15,1,"35506",1,"Flight",5.81142857142857,6.74571428571429,5.50580571428571,0.0343022,-0.0085238,0.000964233,NA
"42",7,7,"016","2021","656",3,15,1,"35506",1,"Flight",6.78,7.87,6.42344,-0.00126873,0.000492142,-3.62766e-05,NA
"43",1,7,"016","2021","656",4,3,1,"32839",1,"Flight",0,0,0,1.17296,1.11538e-15,2.48027,-264.285
"44",2,7,"016","2021","656",4,3,1,"32839",1,"Flight",2.17714285714286,2.54857142857143,2.07494,74.7647,13.818,-6.32794,1357.66
"45",3,7,"016","2021","656",4,3,1,"32839",1,"Flight",3.26571428571429,3.82285714285714,3.11241,-13.7958,0.927851,2.67251,-960.147
"46",4,7,"016","2021","656",4,3,1,"32839",1,"Flight",4.35428571428571,5.09714285714286,4.14988,2.18411,-0.695368,-0.546582,202.472
"47",5,7,"016","2021","656",4,3,1,"32839",1,"Flight",5.44285714285714,6.37142857142857,5.18735,-0.244723,0.0498952,0.0701304,-12.0966
"48",6,7,"016","2021","656",4,3,1,"32839",1,"Flight",6.53142857142857,7.64571428571429,6.22482,0.016723,-0.000102893,-0.00487527,NA
"49",7,7,"016","2021","656",4,3,1,"32839",1,"Flight",7.62,8.92,7.26229,-0.000488873,-8.63802e-05,0.000136338,NA
"50",1,7,"016","2021","656",4,3,1,"33410",1,"Flight",0,0,0,0.120096,-5.58248e-16,0.169688,-20.6133
"51",2,7,"016","2021","656",4,3,1,"33410",1,"Flight",2.04571428571429,2.42857142857143,1.88684857142857,71.8053,15.5951,-6.06405,439.803
"52",3,7,"016","2021","656",4,3,1,"33410",1,"Flight",3.06857142857143,3.64285714285714,2.83027285714286,-12.4964,-0.37981,1.98869,-458.657
"53",4,7,"016","2021","656",4,3,1,"33410",1,"Flight",4.09142857142857,4.85714285714286,3.77369714285714,2.11475,-0.596918,-0.41299,122.964
"54",5,7,"016","2021","656",4,3,1,"33410",1,"Flight",5.11428571428571,6.07142857142857,4.71712142857143,-0.267775,0.0760549,0.0589081,-8.47494
"55",6,7,"016","2021","656",4,3,1,"33410",1,"Flight",6.13714285714286,7.28571428571429,5.66054571428571,0.0205045,-0.00461609,-0.00469217,NA
"56",7,7,"016","2021","656",4,3,1,"33410",1,"Flight",7.16,8.5,6.60397,-0.000656375,0.000104451,0.000150876,NA
