"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"1",1,5,"054","2021","746",1,1,1,"24140",1,"Flight",0,0,0,-0.237223,-8.89365e-16,-0.581055,-216.16
"2",2,5,"054","2021","746",1,1,1,"24140",1,"Flight",2.7,3.236,2.877964,73.4656,14.0903,-4.49186,923.062
"3",3,5,"054","2021","746",1,1,1,"24140",1,"Flight",4.05,4.854,4.316946,-12.6847,-0.0661349,3.06847,-635.501
"4",4,5,"054","2021","746",1,1,1,"24140",1,"Flight",5.4,6.472,5.755928,2.143,-0.716891,-0.679448,134.886
"5",5,5,"054","2021","746",1,1,1,"24140",1,"Flight",6.75,8.09,7.19491,-0.265759,0.108622,0.0984873,-8.34313
"6",1,5,"054","2021","746",1,1,1,"27095",1,"Flight",0,0,0,-0.0114621,0,-0.921644,28.5066
"7",2,5,"054","2021","746",1,1,1,"27095",1,"Flight",2.332,2.884,2.225828,75.9688,13.62,2.50617,-7.02446
"8",3,5,"054","2021","746",1,1,1,"27095",1,"Flight",3.498,4.326,3.338742,-13.1634,-1.01447,-2.50706,-79.7404
"9",4,5,"054","2021","746",1,1,1,"27095",1,"Flight",4.664,5.768,4.451656,2.47068,-0.353925,0.564647,37.578
"10",5,5,"054","2021","746",1,1,1,"27095",1,"Flight",5.83,7.21,5.56457,-0.337906,0.0213563,-0.0864518,-3.46592
"11",1,5,"054","2021","746",1,1,1,"36699",1,"Flight",0,0,0,-0.784426,-2.01876e-16,0.0242736,-112.762
"12",2,5,"054","2021","746",1,1,1,"36699",1,"Flight",2.428,2.972,2.652924,75.4764,12.7377,3.84238,513.853
"13",3,5,"054","2021","746",1,1,1,"36699",1,"Flight",3.642,4.458,3.979386,-13.1408,-0.435581,-0.638753,-379.406
"14",4,5,"054","2021","746",1,1,1,"36699",1,"Flight",4.856,5.944,5.305848,2.38597,-0.412366,0.108333,86.4694
"15",5,5,"054","2021","746",1,1,1,"36699",1,"Flight",6.07,7.43,6.63231,-0.301987,0.0180066,-0.0124001,-5.74385
"16",1,5,"054","2021","746",1,2,1,"24140",1,"Flight",0,0,0,-0.244784,-1.11711e-15,-0.187459,-58.9757
"17",2,5,"054","2021","746",1,2,1,"24140",1,"Flight",2.596,3.092,2.66812,72.9642,15.1925,-8.84356,295.669
"18",3,5,"054","2021","746",1,2,1,"24140",1,"Flight",3.894,4.638,4.00218,-12.3853,-0.702899,3.19357,-226.715
"19",4,5,"054","2021","746",1,2,1,"24140",1,"Flight",5.192,6.184,5.33624,2.1823,-0.536709,-0.652433,52.9009
"20",5,5,"054","2021","746",1,2,1,"24140",1,"Flight",6.49,7.73,6.6703,-0.281453,0.0745417,0.0925588,-3.55257
"21",1,5,"054","2021","746",1,2,1,"27095",1,"Flight",0,0,0,0.0323561,3.47306e-15,-0.36333,323.37
"22",2,5,"054","2021","746",1,2,1,"27095",1,"Flight",2.932,3.508,1.997692,77.9081,12.3664,1.10119,-2219.29
"23",3,5,"054","2021","746",1,2,1,"27095",1,"Flight",4.398,5.262,2.996538,-14.2145,1.40462,1.528,1356.43
"24",4,5,"054","2021","746",1,2,1,"27095",1,"Flight",5.864,7.016,3.995384,2.4021,-1.0686,-0.36143,-213.504
"25",5,5,"054","2021","746",1,2,1,"27095",1,"Flight",7.33,8.77,4.99423,-0.282624,0.143821,0.0511475,10.4641
"26",1,5,"054","2021","746",1,2,1,"36699",1,"Flight",0,0,0,0.176891,-2.58945e-15,0.801637,32.5121
"27",2,5,"054","2021","746",1,2,1,"36699",1,"Flight",2.84,3.392,1.605336,74.7068,12.1789,-0.326143,-1384.93
"28",3,5,"054","2021","746",1,2,1,"36699",1,"Flight",4.26,5.088,2.408004,-13.5853,1.67279,2.63564,1160.94
"29",4,5,"054","2021","746",1,2,1,"36699",1,"Flight",5.68,6.784,3.210672,2.17319,-1.11864,-0.631376,-211.674
"30",5,5,"054","2021","746",1,2,1,"36699",1,"Flight",7.1,8.48,4.01334,-0.238895,0.135898,0.0873634,11.6482
"31",1,5,"054","2021","746",1,3,1,"24140",1,"Flight",0,0,0,0.229245,-3.32164e-15,-0.528285,-101.289
"32",2,5,"054","2021","746",1,3,1,"24140",1,"Flight",2.72,3.22,2.727416,73.4214,15.1081,-2.62202,499.881
"33",3,5,"054","2021","746",1,3,1,"24140",1,"Flight",4.08,4.83,4.091124,-12.5784,0.0114285,1.90316,-367.778
"34",4,5,"054","2021","746",1,3,1,"24140",1,"Flight",5.44,6.44,5.454832,2.15053,-0.880819,-0.467241,82.1741
"35",5,5,"054","2021","746",1,3,1,"24140",1,"Flight",6.8,8.05,6.81854,-0.263812,0.152541,0.0754134,-5.28874
"36",1,5,"054","2021","746",1,3,1,"27095",1,"Flight",0,0,0,-1.50259,1.0714e-15,-0.754127,267.533
"37",2,5,"054","2021","746",1,3,1,"27095",1,"Flight",2.96,3.456,2.339832,77.4518,10.2464,0.991309,-1035.77
"38",3,5,"054","2021","746",1,3,1,"27095",1,"Flight",4.44,5.184,3.509748,-15.1123,3.67262,2.24456,477.002
"39",4,5,"054","2021","746",1,3,1,"27095",1,"Flight",5.92,6.912,4.679664,2.44641,-1.80253,-0.638248,-51.3304
"40",5,5,"054","2021","746",1,3,1,"27095",1,"Flight",7.4,8.64,5.84958,-0.269418,0.267025,0.101609,1.42578
"41",1,5,"054","2021","746",1,3,1,"36699",1,"Flight",0,0,0,-0.959404,3.81719e-15,-0.27964,-202.765
"42",2,5,"054","2021","746",1,3,1,"36699",1,"Flight",2.924,3.444,2.903028,75.6205,15.9141,4.49437,959.021
"43",3,5,"054","2021","746",1,3,1,"36699",1,"Flight",4.386,5.166,4.354542,-13.9971,0.696699,-1.00596,-663.898
"44",4,5,"054","2021","746",1,3,1,"36699",1,"Flight",5.848,6.888,5.806056,2.5849,-1.12382,0.19304,139.111
"45",5,5,"054","2021","746",1,3,1,"36699",1,"Flight",7.31,8.61,7.25757,-0.325779,0.178529,-0.0252108,-8.38665
"46",1,5,"054","2021","746",1,4,1,"24140",1,"Flight",0,0,0,-1.53848,-1.38455e-15,-1.56143,-510.156
"47",2,5,"054","2021","746",1,4,1,"24140",1,"Flight",2.472,3.04,2.496068,51.4559,15.1928,-0.635046,3649.98
"48",3,5,"054","2021","746",1,4,1,"24140",1,"Flight",3.708,4.56,3.744102,-11.1319,0.0896685,0.723831,-3310.56
"49",4,5,"054","2021","746",1,4,1,"24140",1,"Flight",4.944,6.08,4.992136,2.14154,-1.00252,-0.226666,869.981
"50",5,5,"054","2021","746",1,4,1,"24140",1,"Flight",6.18,7.6,6.24017,-0.2707,0.139228,0.0415727,-63.0547
"51",1,5,"054","2021","746",1,4,1,"27095",1,"Flight",0,0,0,-1.33561,1.18406e-15,-1.83198,-0.853885
"52",2,5,"054","2021","746",1,4,1,"27095",1,"Flight",2.468,2.964,2.49406,51.6312,14.4079,4.26893,5.08939
"53",3,5,"054","2021","746",1,4,1,"27095",1,"Flight",3.702,4.446,3.74109,-11.8402,1.57476,-1.09734,-4.29747
"54",4,5,"054","2021","746",1,4,1,"27095",1,"Flight",4.936,5.928,4.98812,2.41104,-1.89797,0.241204,1.08521
"55",5,5,"054","2021","746",1,4,1,"27095",1,"Flight",6.17,7.41,6.23515,-0.324807,0.371339,-0.034748,-0.0777796
"56",1,5,"054","2021","746",1,4,1,"36699",1,"Flight",0,0,0,-0.657205,3.60903e-15,-2.16837,-1.11667
"57",2,5,"054","2021","746",1,4,1,"36699",1,"Flight",2.6,3.076,2.634716,54.0059,15.7588,-0.433791,5.7291
"58",3,5,"054","2021","746",1,4,1,"36699",1,"Flight",3.9,4.614,3.952074,-12.7494,1.34099,0.606401,-4.41256
"59",4,5,"054","2021","746",1,4,1,"36699",1,"Flight",5.2,6.152,5.269432,2.53358,-1.70779,-0.189697,1.032
"60",5,5,"054","2021","746",1,4,1,"36699",1,"Flight",6.5,7.69,6.58679,-0.327229,0.308042,0.032779,-0.0695031
"61",1,5,"054","2021","746",1,5,1,"24140",1,"Flight",0,0,0,0.083703,-3.72522e-15,0.160362,-137.629
"62",2,5,"054","2021","746",1,5,1,"24140",1,"Flight",2.572,3.112,2.667064,73.2114,13.8492,-6.14147,697.612
"63",3,5,"054","2021","746",1,5,1,"24140",1,"Flight",3.858,4.668,4.000596,-12.3755,-0.613108,2.51302,-532.476
"64",4,5,"054","2021","746",1,5,1,"24140",1,"Flight",5.144,6.224,5.334128,2.15816,-0.44252,-0.523225,123.421
"65",5,5,"054","2021","746",1,5,1,"24140",1,"Flight",6.43,7.78,6.66766,-0.276779,0.0441833,0.0756291,-8.23544
"66",1,5,"054","2021","746",1,5,1,"27095",1,"Flight",0,0,0,0.404726,1.59402e-16,-0.627209,-215.618
"67",2,5,"054","2021","746",1,5,1,"27095",1,"Flight",2.756,3.308,2.842944,78.5846,10.0201,-1.42345,976.688
"68",3,5,"054","2021","746",1,5,1,"27095",1,"Flight",4.134,4.962,4.264416,-14.2629,1.8058,-0.485491,-681.046
"69",4,5,"054","2021","746",1,5,1,"27095",1,"Flight",5.512,6.616,5.685888,2.45506,-1.04154,0.125521,144.881
"70",5,5,"054","2021","746",1,5,1,"27095",1,"Flight",6.89,8.27,7.10736,-0.300803,0.130576,-0.0177961,-8.93221
"71",1,5,"054","2021","746",1,5,1,"36699",1,"Flight",0,0,0,-1.08189,0,0.0362364,314.71
"72",2,5,"054","2021","746",1,5,1,"36699",1,"Flight",2.948,3.492,2.338904,74.9876,18.0254,4.35332,-1218.2
"73",3,5,"054","2021","746",1,5,1,"36699",1,"Flight",4.422,5.238,3.508356,-13.6325,-1.19711,0.0888533,564.831
"74",4,5,"054","2021","746",1,5,1,"36699",1,"Flight",5.896,6.984,4.677808,2.42566,-0.415295,-0.0741776,-61.8769
"75",5,5,"054","2021","746",1,5,1,"36699",1,"Flight",7.37,8.73,5.84726,-0.29885,0.0438782,0.0161662,1.81276
"76",1,5,"054","2021","746",1,6,1,"24140",1,"Flight",0,0,0,-1.58378,4.42677e-16,0.650688,-216.504
