"","row","max_row","tournamentNumber","seasonYear","courseNumber","roundNumber","holeNumber","groupId","playerId","shotNumber","kind","timeInterval","validTimeInterval","measuredTimeInterval","xFit","yFit","zFit","spinRateFit"
"41",1,5,"047","2021","538",1,4,1,"46441",1,"Flight",0,0,0,0.337988,-5.37142e-15,0.538659,-231.327
"42",2,5,"047","2021","538",1,4,1,"46441",1,"Flight",2.568,3.2,1.27238,70.7481,13.6081,1.33333,221.194
"43",3,5,"047","2021","538",1,4,1,"46441",1,"Flight",3.852,4.8,1.90857,-10.1211,-1.37492,-2.00184,457.638
"44",4,5,"047","2021","538",1,4,1,"46441",1,"Flight",5.136,6.4,2.54476,1.57726,-0.137301,0.316109,-118.056
"45",5,5,"047","2021","538",1,4,1,"46441",1,"Flight",6.42,8,3.18095,-0.20586,-0.0164879,-0.0335517,7.82604
"46",1,5,"047","2021","538",1,5,1,"29461",1,"Flight",0,0,0,0.224136,-1.97541e-15,0.366727,-1270.38
"47",2,5,"047","2021","538",1,5,1,"29461",1,"Flight",2.8,3.348,2.839848,57.3929,16.9645,0.595431,6099.67
"48",3,5,"047","2021","538",1,5,1,"29461",1,"Flight",4.2,5.022,4.259772,-11.1681,0.051861,0.425931,-4323.27
"49",4,5,"047","2021","538",1,5,1,"29461",1,"Flight",5.6,6.696,5.679696,1.75008,-0.814603,-0.140885,930.437
"50",5,5,"047","2021","538",1,5,1,"29461",1,"Flight",7,8.37,7.09962,-0.167065,0.0831227,0.0240258,-57.659
"51",1,5,"047","2021","538",1,5,1,"31560",1,"Flight",0,0,0,0.0271979,3.08512e-15,0.99034,-1887.29
"52",2,5,"047","2021","538",1,5,1,"31560",1,"Flight",2.688,3.26,2.716516,56.2239,16.0062,5.39202,10620.2
"53",3,5,"047","2021","538",1,5,1,"31560",1,"Flight",4.032,4.89,4.074774,-10.4597,-0.239221,-2.32617,-8197.8
"54",4,5,"047","2021","538",1,5,1,"31560",1,"Flight",5.376,6.52,5.433032,1.6042,-0.66994,0.551481,1888.24
"55",5,5,"047","2021","538",1,5,1,"31560",1,"Flight",6.72,8.15,6.79129,-0.152853,0.0550693,-0.0821371,-123.335
"56",1,5,"047","2021","538",1,5,1,"46441",1,"Flight",0,0,0,0.080964,1.95733e-15,1.32791,-1.33697
"57",2,5,"047","2021","538",1,5,1,"46441",1,"Flight",2.82,3.28,2.861716,57.4416,17.4489,1.43595,5.829
"58",3,5,"047","2021","538",1,5,1,"46441",1,"Flight",4.23,4.92,4.292574,-11.9822,0.837191,-1.33256,-4.04203
"59",4,5,"047","2021","538",1,5,1,"46441",1,"Flight",5.64,6.56,5.723432,2.02887,-1.32355,0.361533,0.86223
"60",5,5,"047","2021","538",1,5,1,"46441",1,"Flight",7.05,8.2,7.15429,-0.215243,0.199896,-0.0548364,-0.053416
"61",1,5,"047","2021","538",1,6,1,"29461",1,"Flight",0,0,0,-0.0560054,-2.65225e-16,0.890382,192.789
"62",2,5,"047","2021","538",1,6,1,"29461",1,"Flight",3.092,3.652,2.677712,76.3246,14.4773,-4.522,-270.94
"63",3,5,"047","2021","538",1,6,1,"29461",1,"Flight",4.638,5.478,4.016568,-13.1767,0.901061,1.83042,-115.753
"64",4,5,"047","2021","538",1,6,1,"29461",1,"Flight",6.184,7.304,5.355424,2.14045,-0.871474,-0.378247,71.5938
"65",5,5,"047","2021","538",1,6,1,"29461",1,"Flight",7.73,9.13,6.69428,-0.240807,0.0978577,0.051203,-5.72344
"66",1,5,"047","2021","538",1,6,1,"31560",1,"Flight",0,0,0,-0.89086,-5.71616e-15,-0.0737681,502.23
"67",2,5,"047","2021","538",1,6,1,"31560",1,"Flight",2.648,3.332,2.140396,70.0389,15.2097,6.81991,-2427.99
"68",3,5,"047","2021","538",1,6,1,"31560",1,"Flight",3.972,4.998,3.210594,-11.1481,-0.437599,-1.95032,1346.17
"69",4,5,"047","2021","538",1,6,1,"31560",1,"Flight",5.296,6.664,4.280792,2.01213,-0.940231,0.420425,-195.492
"70",5,5,"047","2021","538",1,6,1,"31560",1,"Flight",6.62,8.33,5.35099,-0.262963,0.170217,-0.0642185,8.82581
