"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"030","R","2021",1,"669",1,1,4,395,14,1,"FRONT OF BUNKER",11710,9857,670,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,2,"BACK OF BUNKER",11708,9788,671,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,3,"FRONT OF BUNKER",11852,9823,663,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,4,"BACK OF BUNKER",11855,9773,663,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,5,"FRONT OF BUNKER",11710,9745,671,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,6,"BACK OF BUNKER",11680,9640,672,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,7,"FRONT OF BUNKER",11727,9634,667,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,1,4,395,14,8,"FRONT OF GREEN",11835,9536,660,12216.74,10525.3,663.78,11820.16,9440.65,661.9,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,2,4,395,13,1,"FRONT OF BUNKER",11710,9857,670,12208.54,10513.56,663.96,11839.43,9516.24,660.62,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,2,4,395,13,2,"BACK OF BUNKER",11708,9788,671,12208.54,10513.56,663.96,11839.43,9516.24,660.62,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,2,4,395,13,3,"FRONT OF BUNKER",11852,9823,663,12208.54,10513.56,663.96,11839.43,9516.24,660.62,11778.12,9799.9,667.95
"030","R","2021",1,"669",1,2,4,395,13,4,"BACK OF BUNKER",11855,9773,663,12208.54,10513.56,663.96,11839.43,9516.24,660.62,11778.12,9799.9,667.95
