"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"002","R","2021",1,"704",1,1,4,445,12,1,"BACK OF BUNKER",10252,7624,-17,9913.21,7048.72,-10.8,10494.75,8170.3,-18,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,1,4,445,12,2,"FRONT OF BUNKER",10478,7696,-13,9913.21,7048.72,-10.8,10494.75,8170.3,-18,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,1,4,445,12,3,"BACK OF BUNKER",10485,7790,-14,9913.21,7048.72,-10.8,10494.75,8170.3,-18,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,1,4,445,12,4,"FRONT OF BUNKER",10434,7927,-19,9913.21,7048.72,-10.8,10494.75,8170.3,-18,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,1,4,445,12,5,"BACK OF BUNKER",10480,7991,-19,9913.21,7048.72,-10.8,10494.75,8170.3,-18,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,1,4,445,12,6,"FRONT OF GREEN",10487,8156,-18,9913.21,7048.72,-10.8,10494.75,8170.3,-18,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,2,4,445,10,1,"BACK OF BUNKER",10252,7624,-17,9913.21,7048.72,-10.8,10494.73,8170.31,-17.99,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,2,4,445,10,2,"FRONT OF BUNKER",10478,7696,-13,9913.21,7048.72,-10.8,10494.73,8170.31,-17.99,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,2,4,445,10,3,"BACK OF BUNKER",10485,7790,-14,9913.21,7048.72,-10.8,10494.73,8170.31,-17.99,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,2,4,445,10,4,"FRONT OF BUNKER",10434,7927,-19,9913.21,7048.72,-10.8,10494.73,8170.31,-17.99,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,2,4,445,10,5,"BACK OF BUNKER",10480,7991,-19,9913.21,7048.72,-10.8,10494.73,8170.31,-17.99,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,2,4,445,10,6,"FRONT OF GREEN",10487,8156,-18,9913.21,7048.72,-10.8,10494.73,8170.31,-17.99,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,3,4,445,9,1,"BACK OF BUNKER",10252,7624,-17,9919.25,7054.97,-10.83,10498.39,8222.65,-17.35,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,3,4,445,9,2,"FRONT OF BUNKER",10478,7696,-13,9919.25,7054.97,-10.83,10498.39,8222.65,-17.35,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,3,4,445,9,3,"BACK OF BUNKER",10485,7790,-14,9919.25,7054.97,-10.83,10498.39,8222.65,-17.35,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,3,4,445,9,4,"FRONT OF BUNKER",10434,7927,-19,9919.25,7054.97,-10.83,10498.39,8222.65,-17.35,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,3,4,445,9,5,"BACK OF BUNKER",10480,7991,-19,9919.25,7054.97,-10.83,10498.39,8222.65,-17.35,10392.07,7720.8,-14.79
"002","R","2021",1,"704",1,3,4,445,9,6,"FRONT OF GREEN",10487,8156,-18,9919.25,7054.97,-10.83,10498.39,8222.65,-17.35,10392.07,7720.8,-14.79
