"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"041","R","2021",1,"770",1,1,4,454,1,1,"TREE",11810,10073,1086,11928.68,11045.37,1109.64,11952.35,9653.86,1070.99,11877.22,10124.55,1085.99
"041","R","2021",1,"770",1,2,4,454,2,1,"TREE",11810,10073,1086,11927.74,11023.35,1109.64,11983.33,9674.12,1071.46,11877.22,10124.55,1085.99
"041","R","2021",1,"770",1,3,4,454,2,1,"TREE",11810,10073,1086,11928.08,11035.99,1109.61,11988.33,9722.81,1072.19,11877.22,10124.55,1085.99
"041","R","2021",1,"770",1,4,4,454,1,1,"TREE",11810,10073,1086,11926.53,11017.63,1109.65,11948.11,9666.68,1070.85,11877.22,10124.55,1085.99
"041","R","2021",1,"770",2,1,5,602,17,1,"FRONT OF BUNKER",11973,8258,1041,11971.07,9136.67,1060.62,11763.55,7338.79,1025.1,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,1,5,602,17,2,"BACK OF BUNKER",11950,8133,1043,11971.07,9136.67,1060.62,11763.55,7338.79,1025.1,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,1,5,602,17,3,"FRONT OF BUNKER",11882,8124,1035,11971.07,9136.67,1060.62,11763.55,7338.79,1025.1,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,1,5,602,17,4,"BACK OF BUNKER",11876,8083,1040,11971.07,9136.67,1060.62,11763.55,7338.79,1025.1,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,1,5,602,17,5,"FRONT OF BUNKER",11704,7756,1029,11971.07,9136.67,1060.62,11763.55,7338.79,1025.1,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,1,5,602,17,6,"BACK OF BUNKER",11700,7629,1029,11971.07,9136.67,1060.62,11763.55,7338.79,1025.1,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,2,5,602,15,1,"FRONT OF BUNKER",11973,8258,1041,11970.76,9125.09,1060.63,11734.98,7366.41,1024.84,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,2,5,602,15,2,"BACK OF BUNKER",11950,8133,1043,11970.76,9125.09,1060.63,11734.98,7366.41,1024.84,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,2,5,602,15,3,"FRONT OF BUNKER",11882,8124,1035,11970.76,9125.09,1060.63,11734.98,7366.41,1024.84,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,2,5,602,15,4,"BACK OF BUNKER",11876,8083,1040,11970.76,9125.09,1060.63,11734.98,7366.41,1024.84,11905.6,8267.54,1041.67
"041","R","2021",1,"770",2,2,5,602,15,5,"FRONT OF BUNKER",11704,7756,1029,11970.76,9125.09,1060.63,11734.98,7366.41,1024.84,11905.6,8267.54,1041.67
