"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"019","R","2021",1,"894",1,1,4,431,9,1,"FRONT OF BUNKER",10027,8234,644,9521.82,8864.31,652.23,10150.87,7719.66,654.29,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,1,4,431,9,2,"BACK OF BUNKER",10074,8153,647,9521.82,8864.31,652.23,10150.87,7719.66,654.29,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,1,4,431,9,3,"END OF FAIRWAY",10040,8063,642,9521.82,8864.31,652.23,10150.87,7719.66,654.29,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,1,4,431,9,4,"FRONT OF GREEN",10125,7803,652,9521.82,8864.31,652.23,10150.87,7719.66,654.29,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,2,4,431,4,1,"FRONT OF BUNKER",10027,8234,644,9525.72,8858.11,652.23,10144.34,7781.46,653.69,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,2,4,431,4,2,"BACK OF BUNKER",10074,8153,647,9525.72,8858.11,652.23,10144.34,7781.46,653.69,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,2,4,431,4,3,"END OF FAIRWAY",10040,8063,642,9525.72,8858.11,652.23,10144.34,7781.46,653.69,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,2,4,431,4,4,"FRONT OF GREEN",10125,7803,652,9525.72,8858.11,652.23,10144.34,7781.46,653.69,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,3,4,431,5,1,"FRONT OF BUNKER",10027,8234,644,9530.11,8852.77,652.21,10118.96,7702.77,654.05,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,3,4,431,5,2,"BACK OF BUNKER",10074,8153,647,9530.11,8852.77,652.21,10118.96,7702.77,654.05,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,3,4,431,5,3,"END OF FAIRWAY",10040,8063,642,9530.11,8852.77,652.21,10118.96,7702.77,654.05,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,3,4,431,5,4,"FRONT OF GREEN",10125,7803,652,9530.11,8852.77,652.21,10118.96,7702.77,654.05,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,4,4,431,3,1,"FRONT OF BUNKER",10027,8234,644,9534.92,8844.91,652.24,10127.97,7734.65,653.81,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,4,4,431,3,2,"BACK OF BUNKER",10074,8153,647,9534.92,8844.91,652.24,10127.97,7734.65,653.81,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,4,4,431,3,3,"END OF FAIRWAY",10040,8063,642,9534.92,8844.91,652.24,10127.97,7734.65,653.81,9950.68,8212.89,641.33
"019","R","2021",1,"894",1,4,4,431,3,4,"FRONT OF GREEN",10125,7803,652,9534.92,8844.91,652.24,10127.97,7734.65,653.81,9950.68,8212.89,641.33
"019","R","2021",1,"894",2,1,4,466,12,1,"TREE",10474,7195,659,10294.63,7767.81,662.53,10490.94,6472.45,652.75,10556.28,6999.31,653.84
