"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"004","R","2021",1,"004",1,1,4,451,12,1,"FRONT OF BUNKER",8948,10955,366,9647.21,11359.68,381.63,8517.13,10741.53,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,1,4,451,12,2,"BACK OF BUNKER",8904,10927,367,9647.21,11359.68,381.63,8517.13,10741.53,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,1,4,451,12,3,"FRONT OF BUNKER",8980,10835,365,9647.21,11359.68,381.63,8517.13,10741.53,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,1,4,451,12,4,"BACK OF BUNKER",8888,10795,367,9647.21,11359.68,381.63,8517.13,10741.53,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,1,4,451,12,5,"FRONT OF BUNKER",8845,10895,365,9647.21,11359.68,381.63,8517.13,10741.53,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,1,4,451,12,6,"BACK OF BUNKER",8806,10878,367,9647.21,11359.68,381.63,8517.13,10741.53,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,2,4,451,4,1,"FRONT OF BUNKER",8948,10955,366,9647.72,11358.84,381.63,8517.05,10741.51,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,2,4,451,4,2,"BACK OF BUNKER",8904,10927,367,9647.72,11358.84,381.63,8517.05,10741.51,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,2,4,451,4,3,"FRONT OF BUNKER",8980,10835,365,9647.72,11358.84,381.63,8517.05,10741.51,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,2,4,451,4,4,"BACK OF BUNKER",8888,10795,367,9647.72,11358.84,381.63,8517.05,10741.51,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,2,4,451,4,5,"FRONT OF BUNKER",8845,10895,365,9647.72,11358.84,381.63,8517.05,10741.51,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,2,4,451,4,6,"BACK OF BUNKER",8806,10878,367,9647.72,11358.84,381.63,8517.05,10741.51,365,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,3,4,451,6,1,"FRONT OF BUNKER",8948,10955,366,9652.22,11362.53,381.58,8457.74,10724.12,366.2,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,3,4,451,6,2,"BACK OF BUNKER",8904,10927,367,9652.22,11362.53,381.58,8457.74,10724.12,366.2,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,3,4,451,6,3,"FRONT OF BUNKER",8980,10835,365,9652.22,11362.53,381.58,8457.74,10724.12,366.2,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,3,4,451,6,4,"BACK OF BUNKER",8888,10795,367,9652.22,11362.53,381.58,8457.74,10724.12,366.2,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,3,4,451,6,5,"FRONT OF BUNKER",8845,10895,365,9652.22,11362.53,381.58,8457.74,10724.12,366.2,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,3,4,451,6,6,"BACK OF BUNKER",8806,10878,367,9652.22,11362.53,381.58,8457.74,10724.12,366.2,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,4,4,451,1,1,"FRONT OF BUNKER",8948,10955,366,9657.76,11366.95,381.51,8460.97,10755.76,366.45,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,4,4,451,1,2,"BACK OF BUNKER",8904,10927,367,9657.76,11366.95,381.51,8460.97,10755.76,366.45,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,4,4,451,1,3,"FRONT OF BUNKER",8980,10835,365,9657.76,11366.95,381.51,8460.97,10755.76,366.45,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,4,4,451,1,4,"BACK OF BUNKER",8888,10795,367,9657.76,11366.95,381.51,8460.97,10755.76,366.45,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,4,4,451,1,5,"FRONT OF BUNKER",8845,10895,365,9657.76,11366.95,381.51,8460.97,10755.76,366.45,8958.83,10887.68,366.4
"004","R","2021",1,"004",1,4,4,451,1,6,"BACK OF BUNKER",8806,10878,367,9657.76,11366.95,381.51,8460.97,10755.76,366.45,8958.83,10887.68,366.4
"004","R","2021",1,"004",2,1,4,389,11,1,"FRONT OF BUNKER",8262,10117,357,8177.1,10880.43,349.07,8304.03,9725.75,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,1,4,389,11,2,"BACK OF BUNKER",8260,10059,360,8177.1,10880.43,349.07,8304.03,9725.75,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,1,4,389,11,3,"FRONT OF BUNKER",8402,10103,364,8177.1,10880.43,349.07,8304.03,9725.75,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,1,4,389,11,4,"BACK OF BUNKER",8379,9953,365,8177.1,10880.43,349.07,8304.03,9725.75,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,1,4,389,11,5,"FRONT OF GREEN",8284,9792,355,8177.1,10880.43,349.07,8304.03,9725.75,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,2,4,389,13,1,"FRONT OF BUNKER",8262,10117,357,8176.36,10880.17,349.07,8304.03,9725.73,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,2,4,389,13,2,"BACK OF BUNKER",8260,10059,360,8176.36,10880.17,349.07,8304.03,9725.73,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,2,4,389,13,3,"FRONT OF BUNKER",8402,10103,364,8176.36,10880.17,349.07,8304.03,9725.73,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,2,4,389,13,4,"BACK OF BUNKER",8379,9953,365,8176.36,10880.17,349.07,8304.03,9725.73,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,2,4,389,13,5,"FRONT OF GREEN",8284,9792,355,8176.36,10880.17,349.07,8304.03,9725.73,357.86,8336,10094.21,362.27
"004","R","2021",1,"004",2,3,4,389,18,1,"FRONT OF BUNKER",8262,10117,357,8176.86,10885.2,349.06,8254.41,9720.16,356.1,8336,10094.21,362.27
"004","R","2021",1,"004",2,3,4,389,18,2,"BACK OF BUNKER",8260,10059,360,8176.86,10885.2,349.06,8254.41,9720.16,356.1,8336,10094.21,362.27
"004","R","2021",1,"004",2,3,4,389,18,3,"FRONT OF BUNKER",8402,10103,364,8176.86,10885.2,349.06,8254.41,9720.16,356.1,8336,10094.21,362.27
"004","R","2021",1,"004",2,3,4,389,18,4,"BACK OF BUNKER",8379,9953,365,8176.86,10885.2,349.06,8254.41,9720.16,356.1,8336,10094.21,362.27
"004","R","2021",1,"004",2,3,4,389,18,5,"FRONT OF GREEN",8284,9792,355,8176.86,10885.2,349.06,8254.41,9720.16,356.1,8336,10094.21,362.27
"004","R","2021",1,"004",2,4,4,389,14,1,"FRONT OF BUNKER",8262,10117,357,8175.82,10888.26,349.06,8268.69,9761.92,356.14,8336,10094.21,362.27
"004","R","2021",1,"004",2,4,4,389,14,2,"BACK OF BUNKER",8260,10059,360,8175.82,10888.26,349.06,8268.69,9761.92,356.14,8336,10094.21,362.27
"004","R","2021",1,"004",2,4,4,389,14,3,"FRONT OF BUNKER",8402,10103,364,8175.82,10888.26,349.06,8268.69,9761.92,356.14,8336,10094.21,362.27
"004","R","2021",1,"004",2,4,4,389,14,4,"BACK OF BUNKER",8379,9953,365,8175.82,10888.26,349.06,8268.69,9761.92,356.14,8336,10094.21,362.27
"004","R","2021",1,"004",2,4,4,389,14,5,"FRONT OF GREEN",8284,9792,355,8175.82,10888.26,349.06,8268.69,9761.92,356.14,8336,10094.21,362.27
"004","R","2021",1,"004",3,1,3,201,15,1,"BACK OF BUNKER",8089,9110,313,8291.36,9605.4,355.32,8040.85,9100.16,314.49,0,0,0
"004","R","2021",1,"004",3,1,3,201,15,2,"FRONT OF GREEN",8080,9099,315,8291.36,9605.4,355.32,8040.85,9100.16,314.49,0,0,0
"004","R","2021",1,"004",3,1,3,201,15,3,"BACK OF GREEN",8055,9039,316,8291.36,9605.4,355.32,8040.85,9100.16,314.49,0,0,0
"004","R","2021",1,"004",3,2,3,201,10,1,"BACK OF BUNKER",8089,9110,313,8291.63,9605.36,355.33,8040.78,9100.41,314.49,0,0,0
"004","R","2021",1,"004",3,2,3,201,10,2,"FRONT OF GREEN",8080,9099,315,8291.63,9605.36,355.33,8040.78,9100.41,314.49,0,0,0
"004","R","2021",1,"004",3,2,3,201,10,3,"BACK OF GREEN",8055,9039,316,8291.63,9605.36,355.33,8040.78,9100.41,314.49,0,0,0
"004","R","2021",1,"004",3,3,3,201,13,1,"BACK OF BUNKER",8089,9110,313,8348.41,9411.71,363.16,8107.36,9068.19,316.89,0,0,0
"004","R","2021",1,"004",3,3,3,201,13,2,"FRONT OF GREEN",8080,9099,315,8348.41,9411.71,363.16,8107.36,9068.19,316.89,0,0,0
"004","R","2021",1,"004",3,3,3,201,13,3,"BACK OF GREEN",8055,9039,316,8348.41,9411.71,363.16,8107.36,9068.19,316.89,0,0,0
"004","R","2021",1,"004",3,4,3,201,10,1,"BACK OF BUNKER",8089,9110,313,8339.34,9465.14,363.69,8071.99,9042.16,316.33,0,0,0
"004","R","2021",1,"004",3,4,3,201,10,2,"FRONT OF GREEN",8080,9099,315,8339.34,9465.14,363.69,8071.99,9042.16,316.33,0,0,0
"004","R","2021",1,"004",3,4,3,201,10,3,"BACK OF GREEN",8055,9039,316,8339.34,9465.14,363.69,8071.99,9042.16,316.33,0,0,0
"004","R","2021",1,"004",4,1,4,490,2,1,"FRONT OF BUNKER",7843,10099,328,7855.09,9282.66,322.78,7680.16,10759.34,328.96,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,1,4,490,2,2,"BACK OF BUNKER",7814,10190,328,7855.09,9282.66,322.78,7680.16,10759.34,328.96,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,1,4,490,2,3,"FRONT OF BUNKER",7810,10198,327,7855.09,9282.66,322.78,7680.16,10759.34,328.96,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,1,4,490,2,4,"BACK OF BUNKER",7788,10248,328,7855.09,9282.66,322.78,7680.16,10759.34,328.96,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,2,4,490,7,1,"FRONT OF BUNKER",7843,10099,328,7854.41,9282.44,322.76,7680.13,10759.22,328.95,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,2,4,490,7,2,"BACK OF BUNKER",7814,10190,328,7854.41,9282.44,322.76,7680.13,10759.22,328.95,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,2,4,490,7,3,"FRONT OF BUNKER",7810,10198,327,7854.41,9282.44,322.76,7680.13,10759.22,328.95,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,2,4,490,7,4,"BACK OF BUNKER",7788,10248,328,7854.41,9282.44,322.76,7680.13,10759.22,328.95,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,3,4,490,5,1,"FRONT OF BUNKER",7843,10099,328,7846.89,9342.2,321.62,7659.41,10703.37,327.6,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,3,4,490,5,2,"BACK OF BUNKER",7814,10190,328,7846.89,9342.2,321.62,7659.41,10703.37,327.6,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,3,4,490,5,3,"FRONT OF BUNKER",7810,10198,327,7846.89,9342.2,321.62,7659.41,10703.37,327.6,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,3,4,490,5,4,"BACK OF BUNKER",7788,10248,328,7846.89,9342.2,321.62,7659.41,10703.37,327.6,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,4,4,490,13,1,"FRONT OF BUNKER",7843,10099,328,7852.83,9286.47,322.79,7706.44,10696.69,327.66,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,4,4,490,13,2,"BACK OF BUNKER",7814,10190,328,7852.83,9286.47,322.79,7706.44,10696.69,327.66,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,4,4,490,13,3,"FRONT OF BUNKER",7810,10198,327,7852.83,9286.47,322.79,7706.44,10696.69,327.66,7757.81,10142.58,325.1
"004","R","2021",1,"004",4,4,4,490,13,4,"BACK OF BUNKER",7788,10248,328,7852.83,9286.47,322.79,7706.44,10696.69,327.66,7757.81,10142.58,325.1
"004","R","2021",1,"004",5,1,4,454,13,1,"FRONT OF BUNKER",8103,10059,339,7836.04,10842.63,331.94,8022.27,9516.75,329.5,8046.91,10020.29,334.96
"004","R","2021",1,"004",5,1,4,454,13,2,"BACK OF BUNKER",8112,9926,342,7836.04,10842.63,331.94,8022.27,9516.75,329.5,8046.91,10020.29,334.96
