"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"464","R","2021",1,"552",1,1,4,436,11,1,"TREE",10710,9460,82,10413.68,8729.19,85.64,10836.71,9982.11,91.36,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,1,4,436,11,2,"TREE",10561,9565,81,10413.68,8729.19,85.64,10836.71,9982.11,91.36,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,1,4,436,11,3,"FRONT OF GREEN",10812,9917,89,10413.68,8729.19,85.64,10836.71,9982.11,91.36,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,2,4,436,12,1,"TREE",10710,9460,82,10415.63,8737.74,85.67,10888.79,9949.11,91.69,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,2,4,436,12,2,"TREE",10561,9565,81,10415.63,8737.74,85.67,10888.79,9949.11,91.69,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,2,4,436,12,3,"FRONT OF GREEN",10812,9917,89,10415.63,8737.74,85.67,10888.79,9949.11,91.69,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,3,4,436,9,1,"TREE",10710,9460,82,10415.05,8734.78,85.59,10823.48,9965.15,91.27,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,3,4,436,9,2,"TREE",10561,9565,81,10415.05,8734.78,85.59,10823.48,9965.15,91.27,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,3,4,436,9,3,"FRONT OF GREEN",10812,9917,89,10415.05,8734.78,85.59,10823.48,9965.15,91.27,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,4,4,436,11,1,"TREE",10710,9460,82,10413.61,8728.56,85.66,10871.67,9939.91,91.44,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,4,4,436,11,2,"TREE",10561,9565,81,10413.61,8728.56,85.66,10871.67,9939.91,91.44,10650.32,9568.53,81.17
"464","R","2021",1,"552",1,4,4,436,11,3,"FRONT OF GREEN",10812,9917,89,10413.61,8728.56,85.66,10871.67,9939.91,91.44,10650.32,9568.53,81.17
"464","R","2021",1,"552",2,1,3,240,3,1,"FRONT OF GREEN",10235,10456,99,10643.65,10093.72,88.3,10223.11,10478.84,99.66,0,0,0
"464","R","2021",1,"552",2,1,3,240,3,2,"BACK OF GREEN",10169,10510,101,10643.65,10093.72,88.3,10223.11,10478.84,99.66,0,0,0
"464","R","2021",1,"552",2,2,3,240,6,1,"FRONT OF GREEN",10235,10456,99,10650.6,10086.04,88.3,10179.18,10489.31,100.43,0,0,0
"464","R","2021",1,"552",2,2,3,240,6,2,"BACK OF GREEN",10169,10510,101,10650.6,10086.04,88.3,10179.18,10489.31,100.43,0,0,0
"464","R","2021",1,"552",2,3,3,240,1,1,"FRONT OF GREEN",10235,10456,99,10760.85,10026.92,87.37,10207.16,10517.73,100.54,0,0,0
"464","R","2021",1,"552",2,3,3,240,1,2,"BACK OF GREEN",10169,10510,101,10760.85,10026.92,87.37,10207.16,10517.73,100.54,0,0,0
"464","R","2021",1,"552",2,4,3,240,1,1,"FRONT OF GREEN",10235,10456,99,10647.08,10089.74,88.31,10187.17,10443.69,99.87,0,0,0
"464","R","2021",1,"552",2,4,3,240,1,2,"BACK OF GREEN",10169,10510,101,10647.08,10089.74,88.31,10187.17,10443.69,99.87,0,0,0
"464","R","2021",1,"552",3,1,4,424,1,1,"TURN IN FAIRWAY",10055,10993,112,9954.45,10205.55,93.46,9990.29,11488,129.98,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,1,4,424,1,2,"TREE",10033,10991,111,9954.45,10205.55,93.46,9990.29,11488,129.98,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,1,4,424,1,3,"TREE",10124,11204,118,9954.45,10205.55,93.46,9990.29,11488,129.98,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,2,4,424,8,1,"TURN IN FAIRWAY",10055,10993,112,9956.34,10211.31,93.55,10023.38,11439.05,127.79,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,2,4,424,8,2,"TREE",10033,10991,111,9956.34,10211.31,93.55,10023.38,11439.05,127.79,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,2,4,424,8,3,"TREE",10124,11204,118,9956.34,10211.31,93.55,10023.38,11439.05,127.79,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,3,4,424,8,1,"TURN IN FAIRWAY",10055,10993,112,9955.19,10209.47,93.53,9994.72,11425.44,128.4,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,3,4,424,8,2,"TREE",10033,10991,111,9955.19,10209.47,93.53,9994.72,11425.44,128.4,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,3,4,424,8,3,"TREE",10124,11204,118,9955.19,10209.47,93.53,9994.72,11425.44,128.4,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,4,4,424,1,1,"TURN IN FAIRWAY",10055,10993,112,9954.7,10205.46,93.46,10027.46,11512.03,129.59,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,4,4,424,1,2,"TREE",10033,10991,111,9954.7,10205.46,93.46,10027.46,11512.03,129.59,10085.48,11073.85,116.13
"464","R","2021",1,"552",3,4,4,424,1,3,"TREE",10124,11204,118,9954.7,10205.46,93.46,10027.46,11512.03,129.59,10085.48,11073.85,116.13
"464","R","2021",1,"552",4,1,4,407,13,1,"FRONT OF BUNKER",10215,12359,116,9975.27,11598.92,131.05,10043.93,12786.72,131.02,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,1,4,407,13,2,"BACK OF BUNKER",10197,12449,120,9975.27,11598.92,131.05,10043.93,12786.72,131.02,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,1,4,407,13,3,"TREE",10061,12500,122,9975.27,11598.92,131.05,10043.93,12786.72,131.02,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,2,4,407,5,1,"FRONT OF BUNKER",10215,12359,116,9974.73,11595.42,131.01,10030.82,12786.52,130.98,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,2,4,407,5,2,"BACK OF BUNKER",10197,12449,120,9974.73,11595.42,131.01,10030.82,12786.52,130.98,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,2,4,407,5,3,"TREE",10061,12500,122,9974.73,11595.42,131.01,10030.82,12786.52,130.98,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,3,4,407,13,1,"FRONT OF BUNKER",10215,12359,116,9973.28,11593.27,130.99,10096.38,12806.18,131.11,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,3,4,407,13,2,"BACK OF BUNKER",10197,12449,120,9973.28,11593.27,130.99,10096.38,12806.18,131.11,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,3,4,407,13,3,"TREE",10061,12500,122,9973.28,11593.27,130.99,10096.38,12806.18,131.11,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,4,4,407,6,1,"FRONT OF BUNKER",10215,12359,116,9973.42,11592.08,130.97,10063.6,12793.98,131.49,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,4,4,407,6,2,"BACK OF BUNKER",10197,12449,120,9973.42,11592.08,130.97,10063.6,12793.98,131.49,10143.12,12409.54,118.33
"464","R","2021",1,"552",4,4,4,407,6,3,"TREE",10061,12500,122,9973.42,11592.08,130.97,10063.6,12793.98,131.49,10143.12,12409.54,118.33
"464","R","2021",1,"552",5,1,5,538,16,1,"TURN IN FAIRWAY",10642,12712,117,9969.41,12990.27,136.62,11419.07,12292.92,123.8,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,1,5,538,16,2,"FRONT OF BUNKER",11003,12293,111,9969.41,12990.27,136.62,11419.07,12292.92,123.8,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,1,5,538,16,3,"BACK OF BUNKER",11055,12272,113,9969.41,12990.27,136.62,11419.07,12292.92,123.8,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,1,5,538,16,4,"BACK OF BUNKER",11092,12262,112,9969.41,12990.27,136.62,11419.07,12292.92,123.8,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,1,5,538,16,5,"BACK OF BUNKER",11131,12268,113,9969.41,12990.27,136.62,11419.07,12292.92,123.8,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,2,5,538,17,1,"TURN IN FAIRWAY",10642,12712,117,9977.61,12956.07,135.81,11350.46,12274.18,121.49,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,2,5,538,17,2,"FRONT OF BUNKER",11003,12293,111,9977.61,12956.07,135.81,11350.46,12274.18,121.49,10762.44,12642.04,117.48
"464","R","2021",1,"552",5,2,5,538,17,3,"BACK OF BUNKER",11055,12272,113,9977.61,12956.07,135.81,11350.46,12274.18,121.49,10762.44,12642.04,117.48
