"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"007","R","2021",1,"500",1,1,5,503,18,1,"END OF FAIRWAY",11411,9701,310,10470.15,9529.04,363.58,11977.66,9774.62,318.88,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,1,5,503,18,2,"FRONT OF CARTPATH",11424,9703,310,10470.15,9529.04,363.58,11977.66,9774.62,318.88,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,1,5,503,18,3,"BACK OF CARTPATH",11436,9705,309,10470.15,9529.04,363.58,11977.66,9774.62,318.88,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,1,5,503,18,4,"FRONT OF BUNKER",11649,9798,312,10470.15,9529.04,363.58,11977.66,9774.62,318.88,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,2,5,503,18,1,"END OF FAIRWAY",11411,9701,310,10479.36,9554.75,363.65,11939.56,9743.76,317.08,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,2,5,503,18,2,"FRONT OF CARTPATH",11424,9703,310,10479.36,9554.75,363.65,11939.56,9743.76,317.08,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,2,5,503,18,3,"BACK OF CARTPATH",11436,9705,309,10479.36,9554.75,363.65,11939.56,9743.76,317.08,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,2,5,503,18,4,"FRONT OF BUNKER",11649,9798,312,10479.36,9554.75,363.65,11939.56,9743.76,317.08,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,3,5,503,18,1,"END OF FAIRWAY",11411,9701,310,10470.75,9545.81,363.66,11965.39,9734,317.44,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,3,5,503,18,2,"FRONT OF CARTPATH",11424,9703,310,10470.75,9545.81,363.66,11965.39,9734,317.44,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,3,5,503,18,3,"BACK OF CARTPATH",11436,9705,309,10470.75,9545.81,363.66,11965.39,9734,317.44,11347.17,9690.79,312.87
"007","R","2021",1,"500",1,3,5,503,18,4,"FRONT OF BUNKER",11649,9798,312,10470.75,9545.81,363.66,11965.39,9734,317.44,11347.17,9690.79,312.87
