"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"034","R","2021",1,"503",1,1,4,434,12,1,"FRONT OF BUNKER",10199,7828,116,10174.12,8839.28,159.4,10086.36,7574.23,129.08,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,1,4,434,12,2,"BACK OF BUNKER",10176,7772,118,10174.12,8839.28,159.4,10086.36,7574.23,129.08,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,1,4,434,12,3,"FRONT OF GREEN",10098,7618,128,10174.12,8839.28,159.4,10086.36,7574.23,129.08,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,2,4,434,5,1,"FRONT OF BUNKER",10199,7828,116,10173.82,8853.39,159.37,10105.03,7516.91,129.36,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,2,4,434,5,2,"BACK OF BUNKER",10176,7772,118,10173.82,8853.39,159.37,10105.03,7516.91,129.36,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,2,4,434,5,3,"FRONT OF GREEN",10098,7618,128,10173.82,8853.39,159.37,10105.03,7516.91,129.36,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,3,4,434,6,1,"FRONT OF BUNKER",10199,7828,116,10174.84,8848.87,159.44,10126.74,7554.79,129.08,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,3,4,434,6,2,"BACK OF BUNKER",10176,7772,118,10174.84,8848.87,159.44,10126.74,7554.79,129.08,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,3,4,434,6,3,"FRONT OF GREEN",10098,7618,128,10174.84,8848.87,159.44,10126.74,7554.79,129.08,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,4,4,434,4,1,"FRONT OF BUNKER",10199,7828,116,10174.19,8843.94,159.43,10087.53,7516.46,129.5,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,4,4,434,4,2,"BACK OF BUNKER",10176,7772,118,10174.19,8843.94,159.43,10087.53,7516.46,129.5,10171.99,7982.54,122.63
"034","R","2021",1,"503",1,4,4,434,4,3,"FRONT OF GREEN",10098,7618,128,10174.19,8843.94,159.43,10087.53,7516.46,129.5,10171.99,7982.54,122.63
"034","R","2021",1,"503",2,1,4,341,9,1,"TREE",9862,6947,155,10246.93,7602.34,116.47,9966.3,6621.36,155.26,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,1,4,341,9,2,"TREE",9851,6813,155,10246.93,7602.34,116.47,9966.3,6621.36,155.26,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,1,4,341,9,3,"TREE",9866,6768,154,10246.93,7602.34,116.47,9966.3,6621.36,155.26,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,1,4,341,9,4,"FRONT OF GREEN",9923,6687,155,10246.93,7602.34,116.47,9966.3,6621.36,155.26,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,2,4,341,14,1,"TREE",9862,6947,155,10245.75,7597.68,116.46,9927.96,6609.96,155.8,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,2,4,341,14,2,"TREE",9851,6813,155,10245.75,7597.68,116.46,9927.96,6609.96,155.8,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,2,4,341,14,3,"TREE",9866,6768,154,10245.75,7597.68,116.46,9927.96,6609.96,155.8,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,2,4,341,14,4,"FRONT OF GREEN",9923,6687,155,10245.75,7597.68,116.46,9927.96,6609.96,155.8,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,3,4,341,16,1,"TREE",9862,6947,155,10242.07,7594.18,116.48,9933.59,6657.34,156.04,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,3,4,341,16,2,"TREE",9851,6813,155,10242.07,7594.18,116.48,9933.59,6657.34,156.04,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,3,4,341,16,3,"TREE",9866,6768,154,10242.07,7594.18,116.48,9933.59,6657.34,156.04,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,3,4,341,16,4,"FRONT OF GREEN",9923,6687,155,10242.07,7594.18,116.48,9933.59,6657.34,156.04,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,4,4,341,10,1,"TREE",9862,6947,155,10241.06,7589.23,116.47,9961.62,6608.05,155.45,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,4,4,341,10,2,"TREE",9851,6813,155,10241.06,7589.23,116.47,9961.62,6608.05,155.45,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,4,4,341,10,3,"TREE",9866,6768,154,10241.06,7589.23,116.47,9961.62,6608.05,155.45,9937.59,6874.4,154.09
"034","R","2021",1,"503",2,4,4,341,10,4,"FRONT OF GREEN",9923,6687,155,10241.06,7589.23,116.47,9961.62,6608.05,155.45,9937.59,6874.4,154.09
"034","R","2021",1,"503",3,1,4,431,8,1,"FRONT OF BUNKER",9866,5722,147,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
"034","R","2021",1,"503",3,1,4,431,8,2,"BACK OF BUNKER",9884,5684,148,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
"034","R","2021",1,"503",3,1,4,431,8,3,"FRONT OF BUNKER",10013,5694,140,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
"034","R","2021",1,"503",3,1,4,431,8,4,"BACK OF BUNKER",10022,5655,141,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
"034","R","2021",1,"503",3,1,4,431,8,5,"FRONT OF BUNKER",9897,5641,147,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
"034","R","2021",1,"503",3,1,4,431,8,6,"BACK OF BUNKER",9912,5596,148,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
"034","R","2021",1,"503",3,1,4,431,8,7,"FRONT OF GREEN",10053,5345,148,9992.36,6555.63,155.76,10078.86,5323.72,148.17,9949.87,5697.33,144.89
