"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"518","R","2021",1,"884",1,1,4,392,14,1,"FRONT OF BUNKER",10000,9972,982,10745.48,10282.44,989.7,9668.43,10164.04,979.57,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,1,4,392,14,2,"BACK OF BUNKER",9965,9989,982,10745.48,10282.44,989.7,9668.43,10164.04,979.57,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,1,4,392,14,3,"FRONT OF BUNKER",9957,9984,982,10745.48,10282.44,989.7,9668.43,10164.04,979.57,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,1,4,392,14,4,"BACK OF BUNKER",9906,10000,983,10745.48,10282.44,989.7,9668.43,10164.04,979.57,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,1,4,392,14,5,"FRONT OF GREEN",9688,10165,979,10745.48,10282.44,989.7,9668.43,10164.04,979.57,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,2,4,392,13,1,"FRONT OF BUNKER",10000,9972,982,10739.59,10279.42,989.71,9615.88,10207.63,980.2,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,2,4,392,13,2,"BACK OF BUNKER",9965,9989,982,10739.59,10279.42,989.71,9615.88,10207.63,980.2,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,2,4,392,13,3,"FRONT OF BUNKER",9957,9984,982,10739.59,10279.42,989.71,9615.88,10207.63,980.2,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,2,4,392,13,4,"BACK OF BUNKER",9906,10000,983,10739.59,10279.42,989.71,9615.88,10207.63,980.2,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,2,4,392,13,5,"FRONT OF GREEN",9688,10165,979,10739.59,10279.42,989.71,9615.88,10207.63,980.2,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,3,4,392,16,1,"FRONT OF BUNKER",10000,9972,982,10727.29,10273.55,989.76,9632.63,10184.24,979.87,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,3,4,392,16,2,"BACK OF BUNKER",9965,9989,982,10727.29,10273.55,989.76,9632.63,10184.24,979.87,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,3,4,392,16,3,"FRONT OF BUNKER",9957,9984,982,10727.29,10273.55,989.76,9632.63,10184.24,979.87,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,3,4,392,16,4,"BACK OF BUNKER",9906,10000,983,10727.29,10273.55,989.76,9632.63,10184.24,979.87,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,3,4,392,16,5,"FRONT OF GREEN",9688,10165,979,10727.29,10273.55,989.76,9632.63,10184.24,979.87,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,4,4,392,14,1,"FRONT OF BUNKER",10000,9972,982,10748.1,10282.88,989.75,9640.81,10225.54,979.25,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,4,4,392,14,2,"BACK OF BUNKER",9965,9989,982,10748.1,10282.88,989.75,9640.81,10225.54,979.25,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,4,4,392,14,3,"FRONT OF BUNKER",9957,9984,982,10748.1,10282.88,989.75,9640.81,10225.54,979.25,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,4,4,392,14,4,"BACK OF BUNKER",9906,10000,983,10748.1,10282.88,989.75,9640.81,10225.54,979.25,9901.72,10074.45,979.33
"518","R","2021",1,"884",1,4,4,392,14,5,"FRONT OF GREEN",9688,10165,979,10748.1,10282.88,989.75,9640.81,10225.54,979.25,9901.72,10074.45,979.33
"518","R","2021",1,"884",2,1,3,187,9,1,"BACK OF BUNKER",9063,10441,968,9451.22,10146.61,984.64,9019.23,10465.93,973.35,0,0,0
"518","R","2021",1,"884",2,1,3,187,9,2,"FRONT OF GREEN",9040,10423,972,9451.22,10146.61,984.64,9019.23,10465.93,973.35,0,0,0
"518","R","2021",1,"884",2,1,3,187,9,3,"BACK OF GREEN",8977,10453,973,9451.22,10146.61,984.64,9019.23,10465.93,973.35,0,0,0
"518","R","2021",1,"884",2,2,3,187,14,1,"BACK OF BUNKER",9063,10441,968,9444.08,10149.66,984.56,9033.64,10441.65,972.43,0,0,0
"518","R","2021",1,"884",2,2,3,187,14,2,"FRONT OF GREEN",9040,10423,972,9444.08,10149.66,984.56,9033.64,10441.65,972.43,0,0,0
"518","R","2021",1,"884",2,2,3,187,14,3,"BACK OF GREEN",8977,10453,973,9444.08,10149.66,984.56,9033.64,10441.65,972.43,0,0,0
"518","R","2021",1,"884",2,3,3,187,4,1,"BACK OF BUNKER",9063,10441,968,9540.91,10315.43,974.15,8991.19,10407.75,972.79,0,0,0
"518","R","2021",1,"884",2,3,3,187,4,2,"FRONT OF GREEN",9040,10423,972,9540.91,10315.43,974.15,8991.19,10407.75,972.79,0,0,0
"518","R","2021",1,"884",2,3,3,187,4,3,"BACK OF GREEN",8977,10453,973,9540.91,10315.43,974.15,8991.19,10407.75,972.79,0,0,0
