"tournamentNumber","tourCode","seasonYear","eventId","courseNumber","holeNumber","roundNumber","parValue","distance","rank","number","name","location_x","location_y","location_z","tee.x","tee.y","tee.z","pin.x","pin.y","pin.z","centerOffFairway.x","centerOffFairway.y","centerOffFairway.z"
"016","R","2021",1,"656",1,1,4,520,6,1,"BACK OF BUNKER",7459,11986,132,8249.78,11956.58,195,6685.31,12143.07,80.38,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,1,4,520,6,2,"FRONT OF BUNKER",7447,12022,131,8249.78,11956.58,195,6685.31,12143.07,80.38,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,1,4,520,6,3,"BACK OF BUNKER",7341,12040,126,8249.78,11956.58,195,6685.31,12143.07,80.38,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,1,4,520,6,4,"END OF FAIRWAY",7176,12073,102,8249.78,11956.58,195,6685.31,12143.07,80.38,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,2,4,520,1,1,"BACK OF BUNKER",7459,11986,132,8236.94,11960.18,194.92,6748.69,12138.36,80.11,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,2,4,520,1,2,"FRONT OF BUNKER",7447,12022,131,8236.94,11960.18,194.92,6748.69,12138.36,80.11,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,2,4,520,1,3,"BACK OF BUNKER",7341,12040,126,8236.94,11960.18,194.92,6748.69,12138.36,80.11,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,2,4,520,1,4,"END OF FAIRWAY",7176,12073,102,8236.94,11960.18,194.92,6748.69,12138.36,80.11,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,3,4,520,6,1,"BACK OF BUNKER",7459,11986,132,8245.37,11957.82,194.95,6713.99,12145.83,80.39,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,3,4,520,6,2,"FRONT OF BUNKER",7447,12022,131,8245.37,11957.82,194.95,6713.99,12145.83,80.39,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,3,4,520,6,3,"BACK OF BUNKER",7341,12040,126,8245.37,11957.82,194.95,6713.99,12145.83,80.39,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,3,4,520,6,4,"END OF FAIRWAY",7176,12073,102,8245.37,11957.82,194.95,6713.99,12145.83,80.39,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,4,4,520,6,1,"BACK OF BUNKER",7459,11986,132,8240.71,11959.12,194.92,6751.87,12125.63,80.16,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,4,4,520,6,2,"FRONT OF BUNKER",7447,12022,131,8240.71,11959.12,194.92,6751.87,12125.63,80.16,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,4,4,520,6,3,"BACK OF BUNKER",7341,12040,126,8240.71,11959.12,194.92,6751.87,12125.63,80.16,7360.51,12136.4,131.02
"016","R","2021",1,"656",1,4,4,520,6,4,"END OF FAIRWAY",7176,12073,102,8240.71,11959.12,194.92,6751.87,12125.63,80.16,7360.51,12136.4,131.02
"016","R","2021",1,"656",2,1,3,219,5,1,"FRONT OF GREEN",6042,11584,81,6381.45,12036.98,85.51,6019.48,11568.13,81.78,0,0,0
"016","R","2021",1,"656",2,1,3,219,5,2,"BACK OF GREEN",5976,11495,82,6381.45,12036.98,85.51,6019.48,11568.13,81.78,0,0,0
"016","R","2021",1,"656",2,2,3,219,7,1,"FRONT OF GREEN",6042,11584,81,6395.62,12054.19,85.49,6039.63,11537.89,82.94,0,0,0
"016","R","2021",1,"656",2,2,3,219,7,2,"BACK OF GREEN",5976,11495,82,6395.62,12054.19,85.49,6039.63,11537.89,82.94,0,0,0
"016","R","2021",1,"656",2,3,3,219,7,1,"FRONT OF GREEN",6042,11584,81,6391.23,12049.55,85.51,5965.96,11515.17,82.17,0,0,0
"016","R","2021",1,"656",2,3,3,219,7,2,"BACK OF GREEN",5976,11495,82,6391.23,12049.55,85.51,5965.96,11515.17,82.17,0,0,0
"016","R","2021",1,"656",2,4,3,219,2,1,"FRONT OF GREEN",6042,11584,81,6387.42,12043.57,85.52,5975.11,11538.19,81.72,0,0,0
"016","R","2021",1,"656",2,4,3,219,2,2,"BACK OF GREEN",5976,11495,82,6387.42,12043.57,85.52,5975.11,11538.19,81.72,0,0,0
"016","R","2021",1,"656",3,1,4,424,2,1,"BACK OF BUNKER",6720,11174,126,5962.17,11299.55,91.84,7200.11,11160.11,140.16,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,1,4,424,2,2,"FRONT OF BUNKER",6894,11139,129,5962.17,11299.55,91.84,7200.11,11160.11,140.16,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,1,4,424,2,3,"BACK OF BUNKER",6941,11125,132,5962.17,11299.55,91.84,7200.11,11160.11,140.16,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,1,4,424,2,4,"FRONT OF GREEN",7146,11152,138,5962.17,11299.55,91.84,7200.11,11160.11,140.16,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,2,4,424,12,1,"BACK OF BUNKER",6720,11174,126,5950.49,11301.93,91.55,7189.68,11118.98,141.08,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,2,4,424,12,2,"FRONT OF BUNKER",6894,11139,129,5950.49,11301.93,91.55,7189.68,11118.98,141.08,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,2,4,424,12,3,"BACK OF BUNKER",6941,11125,132,5950.49,11301.93,91.55,7189.68,11118.98,141.08,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,2,4,424,12,4,"FRONT OF GREEN",7146,11152,138,5950.49,11301.93,91.55,7189.68,11118.98,141.08,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,3,4,424,7,1,"BACK OF BUNKER",6720,11174,126,5953.76,11301.27,91.64,7175.85,11159.24,139.77,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,3,4,424,7,2,"FRONT OF BUNKER",6894,11139,129,5953.76,11301.27,91.64,7175.85,11159.24,139.77,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,3,4,424,7,3,"BACK OF BUNKER",6941,11125,132,5953.76,11301.27,91.64,7175.85,11159.24,139.77,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,3,4,424,7,4,"FRONT OF GREEN",7146,11152,138,5953.76,11301.27,91.64,7175.85,11159.24,139.77,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,4,4,424,9,1,"BACK OF BUNKER",6720,11174,126,5958.49,11300.3,91.76,7212.95,11164.76,140.26,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,4,4,424,9,2,"FRONT OF BUNKER",6894,11139,129,5958.49,11300.3,91.76,7212.95,11164.76,140.26,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,4,4,424,9,3,"BACK OF BUNKER",6941,11125,132,5958.49,11300.3,91.76,7212.95,11164.76,140.26,6837.42,11224.38,124.19
"016","R","2021",1,"656",3,4,4,424,9,4,"FRONT OF GREEN",7146,11152,138,5958.49,11300.3,91.76,7212.95,11164.76,140.26,6837.42,11224.38,124.19
"016","R","2021",1,"656",4,1,4,422,1,1,"FRONT OF BUNKER",7723,10127,255,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,1,4,422,1,2,"BACK OF BUNKER",7780,10081,257,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,1,4,422,1,3,"FRONT OF BUNKER",7931,10114,245,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,1,4,422,1,4,"BACK OF BUNKER",7977,10090,248,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,1,4,422,1,5,"FRONT OF BUNKER",7851,10025,256,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,1,4,422,1,6,"FRONT OF BUNKER",7993,10057,250,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,1,4,422,1,7,"FRONT OF GREEN",7999,9963,258,7312.61,10946.42,156.19,7997.45,9921.81,261.58,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,1,"FRONT OF BUNKER",7723,10127,255,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,2,"BACK OF BUNKER",7780,10081,257,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,3,"FRONT OF BUNKER",7931,10114,245,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,4,"BACK OF BUNKER",7977,10090,248,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,5,"FRONT OF BUNKER",7851,10025,256,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,6,"FRONT OF BUNKER",7993,10057,250,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,2,4,422,10,7,"FRONT OF GREEN",7999,9963,258,7308.94,10952.67,155.89,8059.94,9951.69,259.6,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,1,"FRONT OF BUNKER",7723,10127,255,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,2,"BACK OF BUNKER",7780,10081,257,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,3,"FRONT OF BUNKER",7931,10114,245,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,4,"BACK OF BUNKER",7977,10090,248,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,5,"FRONT OF BUNKER",7851,10025,256,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,6,"FRONT OF BUNKER",7993,10057,250,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,3,4,422,7,7,"FRONT OF GREEN",7999,9963,258,7315.27,10941.89,156.38,8029.7,9891.34,263.25,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,1,"FRONT OF BUNKER",7723,10127,255,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,2,"BACK OF BUNKER",7780,10081,257,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,3,"FRONT OF BUNKER",7931,10114,245,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,4,"BACK OF BUNKER",7977,10090,248,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,5,"FRONT OF BUNKER",7851,10025,256,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,6,"FRONT OF BUNKER",7993,10057,250,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",4,4,4,422,1,7,"FRONT OF GREEN",7999,9963,258,7310.8,10949.51,156.04,8045.73,9951.9,259.54,7768.49,10200.66,246.47
"016","R","2021",1,"656",5,1,5,526,18,1,"FRONT OF BUNKER",8276,8760,339,8045.8,9612.54,292.66,8051.21,8242.46,348.95,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,1,5,526,18,2,"BACK OF BUNKER",8277,8732,341,8045.8,9612.54,292.66,8051.21,8242.46,348.95,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,1,5,526,18,3,"TURN IN FAIRWAY",8200,8294,352,8045.8,9612.54,292.66,8051.21,8242.46,348.95,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,2,5,526,18,1,"FRONT OF BUNKER",8276,8760,339,8047.06,9607.96,292.78,8029.56,8216,349.49,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,2,5,526,18,2,"BACK OF BUNKER",8277,8732,341,8047.06,9607.96,292.78,8029.56,8216,349.49,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,2,5,526,18,3,"TURN IN FAIRWAY",8200,8294,352,8047.06,9607.96,292.78,8029.56,8216,349.49,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,3,5,526,18,1,"FRONT OF BUNKER",8276,8760,339,8045.07,9615.19,292.59,8064.95,8250.82,348.91,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,3,5,526,18,2,"BACK OF BUNKER",8277,8732,341,8045.07,9615.19,292.59,8064.95,8250.82,348.91,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,3,5,526,18,3,"TURN IN FAIRWAY",8200,8294,352,8045.07,9615.19,292.59,8064.95,8250.82,348.91,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,4,5,526,18,1,"FRONT OF BUNKER",8276,8760,339,8048.21,9603.79,292.89,8037.33,8229.98,349.2,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,4,5,526,18,2,"BACK OF BUNKER",8277,8732,341,8048.21,9603.79,292.89,8037.33,8229.98,349.2,8269.32,8799.9,337.82
"016","R","2021",1,"656",5,4,5,526,18,3,"TURN IN FAIRWAY",8200,8294,352,8048.21,9603.79,292.89,8037.33,8229.98,349.2,8269.32,8799.9,337.82
