"","tournamentNumber","tourCode","seasonYear","eventId","roundNumber","courseNumber","holeNumber","live","teeTime","startingHole","focusPlayerId","playerId","lastName","firstName","shortName","countryCode","leaderFlag","strokesBehind","textScore","roundScore","totalScore","position","thru","completedRoundScore","completedTotalScore","completedPosition","completedThru","time","type","shotNumber","distance","left","from_x","from_y","from_z","provisional","lie","strokesAssessed","groupId","x","y","z","videoID","putt","from","to","cup","radarData.strokeId","radarData.clientNumber","radarData.apexRange","radarData.apexSide","radarData.apexHeight","radarData.clubSpeed","radarData.ballSpeed","radarData.smashFactor","radarData.launchSpin","radarData.verticalLaunchAngle","radarData.horizontalLaunchAngle","radarData.actualFlightTime"
"1","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","27936","Laird","Martin","M","SCO",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48414,"SST",1,"311 yds","219 yds",8249.8,11956.58,194.995,FALSE,"Unknown",1,1,7318.7,11966.53,116.998,"",FALSE,"OTB","OUK",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","27936","Laird","Martin","M","SCO",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48540,"SST",2,"215 yds","20 ft 1 in.",7318.7,11966.53,116.998,FALSE,"Green",1,1,6693.4,12124.48,80.59,"",FALSE,"OTH","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","27936","Laird","Martin","M","SCO",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48656,"SST",3,"20 ft 9 in.","10 in.",6693.4,12124.48,80.59,FALSE,"Green",1,1,6684.3,12143.1,80.48,"",TRUE,"OGR","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","27936","Laird","Martin","M","SCO",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48734,"SST",4,"10 in.","0 in.",6684.3,12143.1,80.48,FALSE,NA,1,1,6685.3,12143.07,80.375,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","34264","Swafford","Hudson","H","USA",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48406,"SST",1,"365 yds","162 yds",8249.8,11956.58,194.995,FALSE,"Right Intermediate",1,1,7169.3,12098.53,102.335,"",FALSE,"OTB","ERI",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","34264","Swafford","Hudson","H","USA",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48544,"SST",2,"170 yds","29 ft 1 in.",7169.3,12098.53,102.335,FALSE,"Green",1,1,6659.8,12128.78,81.191,"",FALSE,"OIR","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","34264","Swafford","Hudson","H","USA",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48572,"SST",3,"29 ft 10 in.","2 ft 7 in.",6659.8,12128.78,81.191,FALSE,"Green",1,1,6684.4,12145.67,80.382,"",TRUE,"OGR","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","016","R","2021",1,1,"656",1,FALSE,"9:10AM",1,"27936","34264","Swafford","Hudson","H","USA",FALSE,0,"Par","E","E","T1","--","E","E","T1","1",48745,"SST",4,"2 ft 7 in.","0 in.",6684.4,12145.67,80.382,FALSE,NA,1,1,6685.3,12143.07,80.375,"",TRUE,"OGR",NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","016","R","2021",1,1,"656",2,FALSE,"9:10AM",1,"27936","27936","Laird","Martin","M","SCO",FALSE,0,"Par","E","E","T1","1","E","E","T2","2",48781,"SST",1,"188 yds","29 ft 8 in.",6381.4,12036.98,85.506,FALSE,"Right Intermediate",1,1,6031.5,11595.36,79.323,"",FALSE,"OTB","ERI",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","016","R","2021",1,1,"656",2,FALSE,"9:10AM",1,"27936","27936","Laird","Martin","M","SCO",FALSE,0,"Par","E","E","T1","1","E","E","T2","2",48854,"SST",2,"27 ft 3 in.","9 ft 10 in.",6031.5,11595.36,79.323,FALSE,"Green",1,1,6029.5,11568.3,81.867,"",FALSE,"OIR","OGR",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
